"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","2150","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","9273","0.0-1.0-0.0","7062","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","12682","0.0-2.0-0.0","3340","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","12758","0.0-3.0","","","","","72.6000000089407","","","","","","","","","","",""
"","EPstroop","4","15531","0.0-4.0-0.0","-1","","","STROOPtrain","","0","1","0","828.8523100423317","1200","700","-1","0","13061.199999988079","13903.199999988079","15110.699999988079"
"","EPstroop","5","18181","0.0-4.1-0.1","1124","","","STROOPtrain","","0","1","1","806.2152958583546","1200","700","1","1","15833.79999999702","16643.09999999404","17767.09999999404"
"","EPstroop","6","20671","0.0-4.2-0.2","764","","","STROOPtrain","","0","0","1","977.6913941295913","1200","700","1","0","18484.19999998808","19482.89999999106","20247"
"","EPstroop","7","22781","0.0-4.3-0.3","531","","","STROOPtrain","","0","0","2","864.6752646474655","1200","700","1","0","20974.19999998808","21843.29999999702","22374.29999999702"
"","EPstroop","8","24901","0.0-4.4-0.4","523","","","STROOPtrain","","0","1","1","875.1941041578485","1200","700","1","1","23084.19999998808","23963.29999999702","24486.29999999702"
"","EPstroop","9","26771","0.0-4.5-0.5","316","","","STROOPtrain","","0","0","0","817.7910957669166","1200","700","1","1","25204.19999998808","26043.29999999702","26359"
"","EPstroop","10","29001","0.0-4.6-0.6","410","","","STROOPtrain","","0","2","2","1093.544376015404","1200","700","0","1","27073.5","28173.5","28583.09999999404"
"","EPstroop","11","31035","0.0-4.7-0.7","388","","","STROOPtrain","","0","2","2","913.0069838719555","1200","700","1","1","29304.29999999702","30242.89999999106","30631.09999999404"
"","EPstroop","12","33195","0.0-4.8-0.8","525","","","STROOPtrain","","0","2","2","923.5998624179044","1200","700","1","1","31339","32266","32791"
"","EPstroop","13","35100","0.0-4.9-0.9","469","","","STROOPtrain","","0","0","0","721.55623631719","1200","700","1","1","33498.59999999404","34226.19999998808","34695"
"","EPstroop","14","37051","0.0-4.10-0.10","285","","","STROOPtrain","","0","1","1","951.9757337072712","1200","700","1","1","35403.59999999404","36361.69999998808","36647.19999998808"
"","EPstroop","15","39404","0.0-4.11-0.11","805","","","STROOPtrain","","0","1","2","835.4399670194646","1200","700","0","0","37354.69999998808","38194.19999998808","38999.09999999404"
