"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","2657","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","145880","0.0-1.0-0.0","143141","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","152342","0.0-2.0-0.0","6205","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","152417","0.0-3.0","","","","","70.8999999994412","","","","","","","","","","",""
"","EPstroop","4","155059","0.0-4.0-0.0","-1","","","STROOPtrain","","0","1","1","735.7001923295069","1200","700","-1","1","152820.2999999998","153556.5","154760.2000000002"
"","EPstroop","5","157921","0.0-4.1-0.1","-1","","","STROOPtrain","","0","2","2","958.9493462302464","1200","700","-1","1","155463.40000000037","156421.7999999998","157622.7000000002"
"","EPstroop","6","160643","0.0-4.2-0.2","1081","","","STROOPtrain","","0","0","0","936.6423197210665","1200","700","1","1","158324.5","159262.10000000056","160345"
"","EPstroop","7","163121","0.0-4.3-0.3","945","","","STROOPtrain","","0","2","2","830.2180948898666","1200","700","1","1","161046.90000000037","161877.7999999998","162822.7000000002"
"","EPstroop","8","165905","0.0-4.4-0.4","1167","","","STROOPtrain","","0","1","1","915.3791572798982","1200","700","1","1","163524.2999999998","164439.7999999998","165607.10000000056"
"","EPstroop","9","168513","0.0-4.5-0.5","-1","","","STROOPtrain","","0","0","0","704.2145654935454","1200","700","-1","1","166309","167014.2000000002","168215.40000000037"
"","EPstroop","10","171318","0.0-4.6-0.6","-1","","","STROOPtrain","","0","1","0","901.4388582776534","1200","700","-1","0","168917.10000000056","169819","171019.40000000037"
"","EPstroop","11","174040","0.0-4.7-0.7","-1","","","STROOPtrain","","0","1","1","817.8839104565816","1200","700","-1","1","171721.60000000056","172539.7999999998","173740.7000000002"
"","EPstroop","12","176961","0.0-4.8-0.8","-1","","","STROOPtrain","","0","0","1","1016.0732749505323","1200","700","-1","0","174443.40000000037","175460.7000000002","176661.7999999998"
"","EPstroop","13","179691","0.0-4.9-0.9","-1","","","STROOPtrain","","0","0","0","826.2428197898447","1200","700","-1","1","177364.2999999998","178190.7999999998","179392.2000000002"
"","EPstroop","14","182638","0.0-4.10-0.10","-1","","","STROOPtrain","","0","2","2","1044.7031628562697","1200","700","-1","1","180093.7000000002","181138.2000000002","182338.7999999998"
"","EPstroop","15","185515","0.0-4.11-0.11","-1","","","STROOPtrain","","0","1","1","973.9243572754033","1200","700","-1","1","183041","184014.40000000037","185215.2999999998"
"","EPstroop","16","188205","0.0-4.12-0.12","-1","","","STROOPtrain","","0","1","2","779.8648954942323","1200","700","-1","0","185917.7999999998","186697.7999999998","187898.60000000056"
"","EPstroop","17","191163","0.0-4.13-0.13","-1","","","STROOPtrain","","0","2","0","1049.897397261277","1200","700","-1","0","188608.40000000037","189657.90000000037","190863.90000000037"
"","EPstroop","18","193714","0.0-4.14-0.14","1073","","","STROOPtrain","","0","0","0","775.2109462052258","1200","700","1","1","191566.10000000056","192342.40000000037","193415.2000000002"
"","EPstroop","19","196397","0.0-4.15-0.15","-1","","","STROOPtrain","","0","2","1","779.5692378897667","1200","700","-1","0","194117.40000000037","194897.40000000037","196097.7999999998"
"","EPstroop","20","198880","0.0-4.16-0.16","1068","","","STROOPtrain","","0","2","2","713.4892959933708","1200","700","1","1","196800.2000000002","197514.10000000056","198582.2000000002"
"","EPstroop","21","201645","0.0-4.17-0.17","-1","","","STROOPtrain","","0","0","2","863.3614694260818","1200","700","-1","0","199282.90000000037","200146.40000000037","201346.60000000056"
"","external-html","22","206964","0.0-5.0-0.0","5239","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","207042","0.0-6.0","","","","","75.09999999962747","","","","","","","","","","",""
"","call-function","24","207111","0.0-7.0","","","","","67.80000000074506","","","","","","","","","","",""
"","EPstroop","25","209819","0.0-8.0-0.0","-1","","","STROOPmain","","0","0","0","804.4753616575604","1200","700","-1","1","207515.60000000056","208320.10000000056","209520.2000000002"
"","EPstroop","26","212552","0.0-8.1-0.1","-1","","","STROOPmain","","1","1","1","830.6874025524768","1200","700","-1","1","210221.90000000037","211053","212253.5"
"","EPstroop","27","215175","0.0-8.2-0.2","1049","","","STROOPmain","","2","1","1","866.7829744076611","1200","700","1","1","212955.2999999998","213822.2000000002","214876.10000000056"
"","EPstroop","28","217829","0.0-8.3-0.3","-1","","","STROOPmain","","3","0","1","751.0613489339978","1200","700","-1","0","215578","216330.2000000002","217530.5"
"","EPstroop","29","220560","0.0-8.4-0.4","-1","","","STROOPmain","","4","1","1","827.9005579266707","1200","700","-1","1","218231.90000000037","219060.2000000002","220261.2999999998"
"","EPstroop","30","222993","0.0-8.5-0.5","904","","","STROOPmain","","5","2","2","827.4168552809809","1200","700","1","1","220963.10000000056","221790.5","222694.90000000037"
"","EPstroop","31","225506","0.0-8.6-0.6","1009","","","STROOPmain","","6","0","0","800.0225663792287","1200","700","1","1","223396.40000000037","224197.7999999998","225207.2999999998"
"","EPstroop","32","228329","0.0-8.7-0.7","-1","","","STROOPmain","","7","1","0","920.0690562490228","1200","700","-1","0","225908.7000000002","226829.7000000002","228030.2999999998"
"","EPstroop","33","231075","0.0-8.8-0.8","1122","","","STROOPmain","","8","2","2","920.3481796882029","1200","700","1","1","228732.5","229653.40000000037","230775.40000000037"
"","EPstroop","34","233891","0.0-8.9-0.9","-1","","","STROOPmain","","9","1","2","912.5560540392439","1200","700","-1","0","231476.7999999998","232389.2000000002","233590.2999999998"
