"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","19718","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","102238","0.0-1.0-0.0","82445","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","111439","0.0-2.0-0.0","9009","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","111508","0.0-3.0","","","","","66.19999998807907","","","","","","","","","","",""
"","EPstroop","4","114285","0.0-4.0-0.0","-1","","","STROOPtrain","","0","1","1","858.5230917318706","1200","700","-1","1","112077.20000001788","112942.80000001192","114150.10000002384"
"","EPstroop","5","116429","0.0-4.1-0.1","439","","","STROOPtrain","","0","1","1","993.5557104749629","1200","700","1","1","114855.70000001788","115854.60000002384","116293.60000002384"
"","EPstroop","6","118669","0.0-4.2-0.2","704","","","STROOPtrain","","0","2","2","823.593119075914","1200","700","1","1","116999","117830","118534.40000000596"
"","EPstroop","7","120782","0.0-4.3-0.3","479","","","STROOPtrain","","0","0","0","925.9882637014169","1200","700","1","1","119239","120167.30000001192","120646.30000001192"
"","EPstroop","8","123733","0.0-4.4-0.4","-1","","","STROOPtrain","","0","0","2","1032.516863097709","1200","700","-1","0","121352.5","122390","123597.80000001192"
"","EPstroop","9","125629","0.0-4.5-0.5","448","","","STROOPtrain","","0","2","2","737.1182120748315","1200","700","1","1","124303.40000000596","125046.30000001192","125494.80000001192"
"","EPstroop","10","128317","0.0-4.6-0.6","-1","","","STROOPtrain","","0","1","0","774.7337782485457","1200","700","-1","0","126199.10000002384","126974.20000001788","128182"
"","EPstroop","11","130989","0.0-4.7-0.7","-1","","","STROOPtrain","","0","1","2","752.6433038787993","1200","700","-1","0","128886.80000001192","129646.60000002384","130854.5"
"","EPstroop","12","133933","0.0-4.8-0.8","1152","","","STROOPtrain","","0","0","0","1080.3504461494845","1200","700","1","1","131559.30000001192","132645.80000001192","133798.30000001192"
"","EPstroop","13","136205","0.0-4.9-0.9","816","","","STROOPtrain","","0","1","1","746.3005452387762","1200","700","1","1","134502.90000000596","135254.5","136070.30000001192"
"","EPstroop","14","138798","0.0-4.10-0.10","880","","","STROOPtrain","","0","2","2","1004.2760931781781","1200","700","1","1","136774.40000000596","137782.30000001192","138662.30000001192"
"","EPstroop","15","141229","0.0-4.11-0.11","903","","","STROOPtrain","","0","1","1","820.883396687439","1200","700","1","1","139367.70000001788","140190.90000000596","141093.5"
"","EPstroop","16","144101","0.0-4.12-0.12","-1","","","STROOPtrain","","0","2","1","951.6436664242825","1200","700","-1","0","141799","142758.80000001192","143966.20000001788"
"","EPstroop","17","146493","0.0-4.13-0.13","808","","","STROOPtrain","","0","0","0","878.39511008711","1200","700","0","1","144670.90000000596","145550.70000001788","146358.60000002384"
"","EPstroop","18","148686","0.0-4.14-0.14","647","","","STROOPtrain","","0","0","0","835.2203141280253","1200","700","1","1","147063.20000001788","147902.20000001788","148549.5"
"","EPstroop","19","150557","0.0-4.15-0.15","416","","","STROOPtrain","","0","2","0","746.9365706057772","1200","700","1","0","149256","150006.5","150422.20000001788"
"","EPstroop","20","152861","0.0-4.16-0.16","712","","","STROOPtrain","","0","0","1","886.4097714054345","1200","700","1","0","151126.5","152014.5","152726.30000001192"
"","EPstroop","21","154783","0.0-4.17-0.17","504","","","STROOPtrain","","0","2","2","706.0231407388254","1200","700","1","1","153431.30000001192","154141.90000000596","154645.60000002384"
"","external-html","22","158591","0.0-5.0-0.0","3684","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","158649","0.0-6.0","","","","","53.099999994039536","","","","","","","","","","",""
"","call-function","24","158806","0.0-7.0","","","","","156.5","","","","","","","","","","",""
"","EPstroop","25","161255","0.0-8.0-0.0","664","","","STROOPmain","","0","0","1","1063.718205003607","1200","700","1","0","159375.20000001788","160446.40000000596","161116.10000002384"
"","EPstroop","26","163246","0.0-8.1-0.1","456","","","STROOPmain","","1","2","2","822.5150416531819","1200","700","1","1","161824","162654.40000000596","163110.60000002384"
"","EPstroop","27","165182","0.0-8.2-0.2","415","","","STROOPmain","","2","2","2","812.4236526639975","1200","700","1","1","163815.10000002384","164631.60000002384","165046.5"
"","EPstroop","28","167438","0.0-8.3-0.3","640","","","STROOPmain","","3","1","1","905.7392377813507","1200","700","1","1","165750.20000001788","166661.70000001788","167302.5"
"","EPstroop","29","169758","0.0-8.4-0.4","784","","","STROOPmain","","4","2","1","826.2001791240832","1200","700","1","0","168007.30000001192","168838.20000001788","169622.80000001192"
"","EPstroop","30","172111","0.0-8.5-0.5","616","","","STROOPmain","","5","0","0","1030.7384492397762","1200","700","0","1","170327","171358.30000001192","171974.10000002384"
"","EPstroop","31","174302","0.0-8.6-0.6","424","","","STROOPmain","","6","1","1","1060.8656118834301","1200","700","1","1","172679.60000002384","173741.70000001788","174166.5"
"","EPstroop","32","176686","0.0-8.7-0.7","760","","","STROOPmain","","7","0","0","914.317404561601","1200","700","1","1","174871","175790.60000002384","176550.60000002384"
"","EPstroop","33","178734","0.0-8.8-0.8","567","","","STROOPmain","","8","0","2","767.7662023365797","1200","700","1","0","177255.20000001788","178031.10000002384","178597.80000001192"
"","EPstroop","34","180527","0.0-8.9-0.9","305","","","STROOPmain","","9","1","1","775.0787054156941","1200","700","1","1","179302.90000000596","180085.90000000596","180390.70000001788"
"","EPstroop","35","182654","0.0-8.10-0.10","376","","","STROOPmain","","10","0","0","1040.0946980306956","1200","700","1","1","181096","182141.70000001788","182518.40000000596"
"","EPstroop","36","184831","0.0-8.11-0.11","535","","","STROOPmain","","11","0","0","928.5063973831276","1200","700","1","1","183222.80000001192","184158.60000002384","184693.30000001192"
"","EPstroop","37","187183","0.0-8.12-0.12","574","","","STROOPmain","","12","1","2","1063.0628890907185","1200","700","0","0","185399.5","186471.10000002384","187045.20000001788"
"","EPstroop","38","189534","0.0-8.13-0.13","760","","","STROOPmain","","13","0","0","885.7855820136269","1200","700","1","1","187751","188637.90000000596","189398.5"
"","EPstroop","39","191518","0.0-8.14-0.14","480","","","STROOPmain","","14","0","2","796.8862356114112","1200","700","1","0","190103.40000000596","190902.70000001788","191382.80000001192"
"","EPstroop","40","193919","0.0-8.15-0.15","688","","","STROOPmain","","15","0","0","1001.6450185178944","1200","700","1","1","192086.80000001192","193094.5","193782.30000001192"
"","EPstroop","41","196142","0.0-8.16-0.16","632","","","STROOPmain","","16","1","0","885.6472749003813","1200","700","0","0","194487.70000001788","195373.90000000596","196006"
"","EPstroop","42","198366","0.0-8.17-0.17","616","","","STROOPmain","","17","0","0","898.400391850937","1200","700","1","1","196711.30000001192","197613.70000001788","198230.20000001788"
"","EPstroop","43","200863","0.0-8.18-0.18","711","","","STROOPmain","","18","0","1","1073.8867713837158","1200","700","0","0","198934.60000002384","200014.5","200725.70000001788"
"","EPstroop","44","203087","0.0-8.19-0.19","592","","","STROOPmain","","19","2","1","918.8779480208171","1200","700","1","0","201431.40000000596","202358.10000002384","202950.60000002384"
"","EPstroop","45","205190","0.0-8.20-0.20","294","","","STROOPmain","","20","1","1","1093.7090961123522","1200","700","1","1","203655.5","204750.80000001192","205045.20000001788"
"","EPstroop","46","207214","0.0-8.21-0.21","319","","","STROOPmain","","21","1","1","996.0862060217621","1200","700","1","1","205759.10000002384","206758.70000001788","207078.30000001192"
"","EPstroop","47","209743","0.0-8.22-0.22","928","","","STROOPmain","","22","1","0","888.8320085342026","1200","700","1","0","207783","208677.80000001192","209606.30000001192"
"","EPstroop","48","211838","0.0-8.23-0.23","679","","","STROOPmain","","23","1","1","705.6152712994749","1200","700","1","1","210311.20000001788","211022.20000001788","211701.80000001192"
"","EPstroop","49","213726","0.0-8.24-0.24","344","","","STROOPmain","","24","0","1","836.2859808804161","1200","700","1","0","212406.5","213245.70000001788","213589.60000002384"
"","EPstroop","50","215695","0.0-8.25-0.25","376","","","STROOPmain","","25","1","1","879.6245646346615","1200","700","1","1","214294.90000000596","215182.40000000596","215558.30000001192"
"","EPstroop","51","217678","0.0-8.26-0.26","392","","","STROOPmain","","26","1","1","868.6396744344803","1200","700","1","1","216263","217133.80000001192","217526.20000001788"
"","EPstroop","52","220064","0.0-8.27-0.27","624","","","STROOPmain","","27","2","2","1054.8365104945153","1200","700","1","1","218246.10000002384","219302.30000001192","219926.40000000596"
"","EPstroop","53","222062","0.0-8.28-0.28","520","","","STROOPmain","","28","0","0","772.5550008200354","1200","700","1","1","220631.20000001788","221405.70000001788","221926.30000001192"
"","EPstroop","54","224287","0.0-8.29-0.29","585","","","STROOPmain","","29","2","2","931.4550566188664","1200","700","1","1","222630.80000001192","223565.70000001788","224150.5"
"","EPstroop","55","227071","0.0-8.30-0.30","1136","","","STROOPmain","","30","2","0","939.265210076413","1200","700","0","0","224854.70000001788","225798.5","226934.10000002384"
"","EPstroop","56","229119","0.0-8.31-0.31","616","","","STROOPmain","","31","0","0","721.6521741559243","1200","700","1","1","227639.10000002384","228366.5","228982.30000001192"
