"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","4336","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","12657","0.0-1.0-0.0","8256","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","17375","0.0-2.0-0.0","4633","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","17435","0.0-3.0","","","","","58.5","","","","","","","","","","",""
"","EPstroop","4","20205","0.0-4.0-0.0","-1","","","STROOPtrain","","0","1","2","821.8073448543221","1200","700","-1","0","17900","18729.20000000001","19949.29999999999"
"","EPstroop","5","22955","0.0-4.1-0.1","1089","","","STROOPtrain","","0","1","0","929.7409015334224","1200","700","1","0","20669.79999999999","21614.20000000001","22704"
"","EPstroop","6","25035","0.0-4.2-0.2","485","","","STROOPtrain","","0","1","1","877.2184699011732","1200","700","1","1","23420.70000000001","24299.29999999999","24784"
"","EPstroop","7","27085","0.0-4.3-0.3","572","","","STROOPtrain","","0","1","1","755.0849797456298","1200","700","1","1","25500.5","26259.399999999965","26831.599999999977"
"","EPstroop","8","29172","0.0-4.4-0.4","458","","","STROOPtrain","","0","1","1","913.1864477605417","1200","700","1","1","27549.70000000001","28469.5","28927.599999999977"
"","EPstroop","9","31548","0.0-4.5-0.5","694","","","STROOPtrain","","0","0","1","979.7912642594318","1200","700","1","0","29637.79999999999","30617.20000000001","31310.899999999965"
"","EPstroop","10","33788","0.0-4.6-0.6","537","","","STROOPtrain","","0","2","2","1000.7982723208554","1200","700","1","1","32013.899999999965","33014.59999999998","33551.899999999965"
"","EPstroop","11","35756","0.0-4.7-0.7","539","","","STROOPtrain","","0","0","0","727.4091903304252","1200","700","1","1","34254","34981.5","35520"
"","EPstroop","12","37891","0.0-4.8-0.8","530","","","STROOPtrain","","0","0","0","895.930703808929","1200","700","1","1","36221.79999999999","37117.899999999965","37647.59999999998"
"","EPstroop","13","39939","0.0-4.9-0.9","442","","","STROOPtrain","","0","0","0","902.4294818531762","1200","700","1","1","38349.70000000001","39253.20000000001","39695.79999999999"
"","EPstroop","14","42067","0.0-4.10-0.10","443","","","STROOPtrain","","0","0","0","982.466615768795","1200","700","1","1","40397.70000000001","41380.399999999965","41823.70000000001"
"","EPstroop","15","44434","0.0-4.11-0.11","652","","","STROOPtrain","","0","2","0","1013.0003923730278","1200","700","1","0","42525.29999999999","43539","44190.70000000001"
