"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","4116","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","35907","0.0-1.0-0.0","31647","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","42752","0.0-2.0-0.0","4942","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","43028","0.0-3.0","","","","","270.6000000000058","","","","","","","","","","",""
"","EPstroop","4","45548","0.0-4.0-0.0","858","","","STROOPtrain","","0","1","1","959.4838681286494","1200","700","1","1","65043.8","66004.2","66862.6"
"","EPstroop","5","47884","0.0-4.1-0.1","703","","","STROOPtrain","","0","2","2","916.2693856108207","1200","700","1","1","67563.8","68495.4","69198.8"
"","EPstroop","6","50124","0.0-4.2-0.2","584","","","STROOPtrain","","0","2","0","953.8746144640818","1200","700","1","0","69900.3","70854.2","71438.2"
"","EPstroop","7","52284","0.0-4.3-0.3","711","","","STROOPtrain","","0","2","1","748.8924129588615","1200","700","1","0","72140.4","72888.5","73599.1"
"","EPstroop","8","54331","0.0-4.4-0.4","483","","","STROOPtrain","","0","0","0","863.0810181488137","1200","700","1","1","74299.9","75163.4","75646.2"
"","EPstroop","9","56683","0.0-4.5-0.5","594","","","STROOPtrain","","0","1","2","1056.9921768125694","1200","700","1","0","76347.3","77403.9","77998.1"
"","EPstroop","10","58604","0.0-4.6-0.6","477","","","STROOPtrain","","0","0","0","741.3839620266785","1200","700","1","1","78699.2","79440.7","79918.1"
"","EPstroop","11","60588","0.0-4.7-0.7","453","","","STROOPtrain","","0","2","2","828.5010181775883","1200","700","1","1","80619.8","81448.9","81902.4"
"","EPstroop","12","62507","0.0-4.8-0.8","460","","","STROOPtrain","","0","2","2","757.7489578546664","1200","700","1","1","82604.5","83362.6","83822.2"
"","EPstroop","13","64636","0.0-4.9-0.9","505","","","STROOPtrain","","0","1","1","920.804881229279","1200","700","1","1","84523.2","85444.79999999999","85950.29999999999"
"","EPstroop","14","67228","0.0-4.10-0.10","866","","","STROOPtrain","","0","0","2","1023.86567124872","1200","700","1","0","86652","87675.9","88542.20000000001"
"","EPstroop","15","69259","0.0-4.11-0.11","472","","","STROOPtrain","","0","0","0","858.2975937707212","1200","700","1","1","89243.5","90102.5","90574.29999999999"
"","EPstroop","16","71579","0.0-4.12-0.12","627","","","STROOPtrain","","0","1","1","991.6585953210009","1200","700","1","1","91275.4","92267.29999999999","92894.1"
"","EPstroop","17","74059","0.0-4.13-0.13","993","","","STROOPtrain","","0","0","1","779.1812385048627","1200","700","1","0","93594.6","94381","95374.1"
"","EPstroop","18","76252","0.0-4.14-0.14","425","","","STROOPtrain","","0","0","0","1065.8271018685275","1200","700","1","1","96075.20000000001","97141.29999999999","97566.1"
"","EPstroop","19","78556","0.0-4.15-0.15","795","","","STROOPtrain","","0","1","0","806.8056875544879","1200","700","0","0","98268.1","99075","99870.20000000001"
"","EPstroop","20","81083","0.0-4.16-0.16","720","","","STROOPtrain","","0","2","2","1091.0136856647525","1200","700","1","1","100571.70000000001","101677.70000000001","102398.29999999999"
"","EPstroop","21","83435","0.0-4.17-0.17","673","","","STROOPtrain","","0","1","1","977.7080565453005","1200","700","1","1","103099.9","104077.5","104750.29999999999"
"","external-html","22","86640","0.0-5.0-0.0","2906","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","86710","0.0-6.0","","","","","64.5","","","","","","","","","","",""
"","call-function","24","86890","0.0-7.0","","","","","180.5","","","","","","","","","","",""
"","EPstroop","25","89324","0.0-8.0-0.0","751","","","STROOPmain","","0","0","1","980.5038437258322","1200","700","0","0","108907.1","109888","110639.1"
"","EPstroop","26","91501","0.0-8.1-0.1","752","","","STROOPmain","","1","1","0","721.815493662367","1200","700","1","0","111341","112062.5","112816.5"
"","EPstroop","27","93548","0.0-8.2-0.2","533","","","STROOPmain","","2","1","1","811.9100559364344","1200","700","1","1","113517.5","114329.29999999999","114863"
"","EPstroop","28","95693","0.0-8.3-0.3","534","","","STROOPmain","","3","1","1","908.797159750524","1200","700","1","1","115564.5","116473.29999999999","117007.4"
"","EPstroop","29","97644","0.0-8.4-0.4","485","","","STROOPmain","","4","1","1","763.4082277615803","1200","700","1","1","117709.79999999999","118473.70000000001","118959.5"
"","EPstroop","30","99693","0.0-8.5-0.5","363","","","STROOPmain","","5","0","0","982.8837916709031","1200","700","1","1","119661","120644","121007.5"
"","EPstroop","31","101533","0.0-8.6-0.6","355","","","STROOPmain","","6","1","1","781.6884834035429","1200","700","1","1","121709.79999999999","122491.79999999999","122847.4"
"","EPstroop","32","103402","0.0-8.7-0.7","318","","","STROOPmain","","7","1","2","835.9874170768887","1200","700","1","0","123549.70000000001","124385.6","124703.5"
"","EPstroop","33","105387","0.0-8.8-0.8","311","","","STROOPmain","","8","2","0","957.4490442026012","1200","700","1","0","125418.5","126376.6","126687.4"
"","EPstroop","34","107644","0.0-8.9-0.9","464","","","STROOPmain","","9","0","0","1090.5608673065954","1200","700","1","1","127404","128495.20000000001","128959.1"
"","EPstroop","35","109619","0.0-8.10-0.10","542","","","STROOPmain","","10","1","0","723.3513511257161","1200","700","1","0","129661.29999999999","130385.20000000001","130927.29999999999"
"","EPstroop","36","111613","0.0-8.11-0.11","512","","","STROOPmain","","11","2","2","779.0729413970687","1200","700","1","1","131636","132415.6","132927.8"
"","EPstroop","37","113756","0.0-8.12-0.12","553","","","STROOPmain","","12","2","2","887.1915481342669","1200","700","1","1","133630.3","134518.3","135071.1"
"","EPstroop","38","115948","0.0-8.13-0.13","707","","","STROOPmain","","13","1","1","783.0654830667563","1200","700","1","1","135772.7","136556.4","137263.4"
"","EPstroop","39","117917","0.0-8.14-0.14","339","","","STROOPmain","","14","0","0","927.4438298221885","1200","700","1","1","137964.8","138892.2","139231.2"
"","EPstroop","40","119915","0.0-8.15-0.15","481","","","STROOPmain","","15","0","0","815.0264704866768","1200","700","1","1","139933.6","140749.1","141230.2"
"","EPstroop","41","121740","0.0-8.16-0.16","344","","","STROOPmain","","16","0","2","778.5929639367558","1200","700","1","0","141931.5","142710.5","143054.4"
"","EPstroop","42","123755","0.0-8.17-0.17","309","","","STROOPmain","","17","1","0","1005.457721778136","1200","700","1","0","143755.9","144761.5","145070.4"
"","EPstroop","43","125964","0.0-8.18-0.18","410","","","STROOPmain","","18","2","1","1096.5370679232367","1200","700","1","0","145772.3","146869","147279.1"
"","EPstroop","44","127820","0.0-8.19-0.19","417","","","STROOPmain","","19","2","2","735.3570921747895","1200","700","1","1","147980.9","148717.1","149134.5"
"","EPstroop","45","130141","0.0-8.20-0.20","766","","","STROOPmain","","20","1","1","851.8338986132585","1200","700","1","1","149836.4","150688.7","151455.4"
"","EPstroop","46","132205","0.0-8.21-0.21","476","","","STROOPmain","","21","0","0","885.8222487162194","1200","700","1","1","152157.4","153042.6","153519.3"
"","EPstroop","47","134284","0.0-8.22-0.22","454","","","STROOPmain","","22","1","1","923.5554979780986","1200","700","1","1","154220.9","155145","155599.1"
"","EPstroop","48","136588","0.0-8.23-0.23","570","","","STROOPmain","","23","1","1","1031.7620362488574","1200","700","1","1","156300.9","157332.9","157903.3"
"","EPstroop","49","138701","0.0-8.24-0.24","489","","","STROOPmain","","24","0","0","920.2940865859299","1200","700","1","1","158605.2","159526.1","160015.4"
"","EPstroop","50","140940","0.0-8.25-0.25","736","","","STROOPmain","","25","2","1","801.1213347494381","1200","700","0","0","160717.5","161519.1","162255"
"","EPstroop","51","143405","0.0-8.26-0.26","780","","","STROOPmain","","26","1","1","982.5902209738654","1200","700","1","1","162956.5","163939","164719.5"
"","EPstroop","52","145804","0.0-8.27-0.27","643","","","STROOPmain","","27","1","2","1053.8492243933404","1200","700","1","0","165421.8","166475.5","167119"
"","EPstroop","53","147942","0.0-8.28-0.28","433","","","STROOPmain","","28","0","0","992.6109757103131","1200","700","1","1","167819.9","168813.4","169246.2"
"","EPstroop","54","150028","0.0-8.29-0.29","403","","","STROOPmain","","29","0","0","980.1121194777481","1200","700","1","1","169959.1","170940.2","171343.2"
"","EPstroop","55","151933","0.0-8.30-0.30","489","","","STROOPmain","","30","2","2","712.6437187365585","1200","700","1","1","172044.7","172757.2","173246.4"
"","EPstroop","56","154093","0.0-8.31-0.31","401","","","STROOPmain","","31","0","0","1055.5794404356755","1200","700","1","1","173949.6","175005.7","175406.9"
"","EPstroop","57","156749","0.0-8.32-0.32","1092","","","STROOPmain","","32","0","1","861.3408827745284","1200","700","1","0","176109.4","176971.1","178063.2"
"","EPstroop","58","158748","0.0-8.33-0.33","430","","","STROOPmain","","33","2","1","867.3579662657005","1200","700","1","0","178765.7","179633","180063.2"
"","EPstroop","59","160716","0.0-8.34-0.34","354","","","STROOPmain","","34","0","0","911.869313522288","1200","700","1","1","180764.4","181676.6","182031.2"
"","EPstroop","60","162861","0.0-8.35-0.35","361","","","STROOPmain","","35","1","0","1081.8024204765225","1200","700","0","0","182732.5","183814","184175"
"","EPstroop","61","165117","0.0-8.36-0.36","517","","","STROOPmain","","36","2","2","1036.0434362339552","1200","700","1","1","184877.3","185913.9","186431.4"
"","EPstroop","62","167564","0.0-8.37-0.37","870","","","STROOPmain","","37","1","2","875.5485689399628","1200","700","1","0","187133.5","188009.3","188879"
"","EPstroop","63","169644","0.0-8.38-0.38","470","","","STROOPmain","","38","2","2","906.2767571395229","1200","700","1","1","189581.1","190488.6","190959"
"","EPstroop","64","171660","0.0-8.39-0.39","463","","","STROOPmain","","39","1","1","850.2269067749403","1200","700","1","1","191660.5","192510.9","192974.2"
"","EPstroop","65","173981","0.0-8.40-0.40","641","","","STROOPmain","","40","1","2","977.1323840107577","1200","700","1","0","193676.3","194654.3","195295.2"
"","EPstroop","66","176333","0.0-8.41-0.41","554","","","STROOPmain","","41","0","0","1095.819147707588","1200","700","1","1","195997.1","197093.3","197647.4"
"","EPstroop","67","178301","0.0-8.42-0.42","530","","","STROOPmain","","42","1","1","735.9593084183202","1200","700","1","1","198349.6","199085.1","199615.1"
"","EPstroop","68","180508","0.0-8.43-0.43","499","","","STROOPmain","","43","2","2","1006.8288412048435","1200","700","1","1","200316.7","201323.4","201822.2"
"","EPstroop","69","182763","0.0-8.44-0.44","733","","","STROOPmain","","44","0","2","820.4540547522705","1200","700","1","0","202524.4","203344.9","204077.9"
"","EPstroop","70","184764","0.0-8.45-0.45","408","","","STROOPmain","","45","2","2","890.5845613575258","1200","700","1","1","204779.7","205670.7","206079"
"","EPstroop","71","186685","0.0-8.46-0.46","429","","","STROOPmain","","46","2","2","789.3467451917975","1200","700","1","1","206780.7","207570.3","207999.4"
"","EPstroop","72","188508","0.0-8.47-0.47","405","","","STROOPmain","","47","2","2","715.3092043675742","1200","700","1","1","208701.6","209417.6","209823.2"
"","EPstroop","73","190620","0.0-8.48-0.48","357","","","STROOPmain","","48","2","2","1052.366438765237","1200","700","1","1","210524.9","211577.3","211935"
"","EPstroop","74","192700","0.0-8.49-0.49","369","","","STROOPmain","","49","0","0","1009.3180741599481","1200","700","1","1","212636.5","213645.7","214014.4"
"","EPstroop","75","194604","0.0-8.50-0.50","390","","","STROOPmain","","50","2","2","812.4661154226351","1200","700","1","1","214716","215529","215919.2"
"","EPstroop","76","196660","0.0-8.51-0.51","570","","","STROOPmain","","51","1","1","775.911841281035","1200","700","1","1","216620.59999999998","217396.5","217967.09999999998"
"","EPstroop","77","198819","0.0-8.52-0.52","368","","","STROOPmain","","52","2","2","1081.0868986958071","1200","700","1","1","218676.8","219758.8","220127.3"
"","EPstroop","78","200972","0.0-8.53-0.53","489","","","STROOPmain","","53","0","0","961.5005679748808","1200","700","1","1","220835.59999999998","221797.7","222287.09999999998"
"","EPstroop","79","203004","0.0-8.54-0.54","587","","","STROOPmain","","54","2","0","743.0656580653168","1200","700","1","0","222988.59999999998","223731.8","224319"
"","EPstroop","80","205101","0.0-8.55-0.55","479","","","STROOPmain","","55","0","0","915.5090908046882","1200","700","1","1","225020.3","225936.09999999998","226415.09999999998"
"","EPstroop","81","206859","0.0-8.56-0.56","313","","","STROOPmain","","56","0","0","743.9087656273186","1200","700","1","1","227117.3","227860.90000000002","228174.2"
"","EPstroop","82","209020","0.0-8.57-0.57","569","","","STROOPmain","","57","2","2","875.9749839846058","1200","700","1","1","228875.59999999998","229766.2","230335.5"
"","EPstroop","83","211340","0.0-8.58-0.58","639","","","STROOPmain","","58","2","1","977.6551181847344","1200","700","1","0","231036.7","232015.09999999998","232654.59999999998"
"","EPstroop","84","213676","0.0-8.59-0.59","759","","","STROOPmain","","59","0","1","876.6994804570904","1200","700","1","0","233355.90000000002","234232.3","234991.2"
"","EPstroop","85","215676","0.0-8.60-0.60","481","","","STROOPmain","","60","0","2","816.2711402028876","1200","700","1","0","235693.09999999998","236509.8","236990.8"
