"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","197841","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","280551","0.0-1.0-0.0","82455","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","297765","0.0-2.0-0.0","16943","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","297953","0.0-3.0","","","","","183.30000000074506","","","","","","","","","","",""
"","EPstroop","4","300673","0.0-4.0-0.0","-1","","","STROOPtrain","","0","1","1","800.7519151266366","1200","700","-1","1","299245","300052.7000000002","301260.89999999944"
"","EPstroop","5","303449","0.0-4.1-0.1","-1","","","STROOPtrain","","0","1","0","860.4534638725279","1200","700","-1","0","301965.7000000002","302828.7000000002","304035.89999999944"
"","EPstroop","6","305769","0.0-4.2-0.2","595","","","STROOPtrain","","0","1","1","1007.5563851959292","1200","700","1","1","304742.0999999996","305756.0999999996","306353"
"","EPstroop","7","308336","0.0-4.3-0.3","1018","","","STROOPtrain","","0","0","0","839.420937627674","1200","700","1","1","307061.7000000002","307908","308926.2000000002"
"","EPstroop","8","310353","0.0-4.4-0.4","530","","","STROOPtrain","","0","2","0","781.659491674445","1200","700","1","0","309628.89999999944","310412.5999999996","310942.2999999998"
"","EPstroop","9","313153","0.0-4.5-0.5","1064","","","STROOPtrain","","0","2","2","1017.7872967177716","1200","700","1","1","311644.89999999944","312678.39999999944","313741.89999999944"
"","EPstroop","10","315825","0.0-4.6-0.6","971","","","STROOPtrain","","0","2","1","995.7366590186757","1200","700","1","0","314445.39999999944","315444.2999999998","316415"
"","EPstroop","11","318272","0.0-4.7-0.7","915","","","STROOPtrain","","0","0","2","827.0194127092416","1200","700","0","0","317116.89999999944","317947.7000000002","318863"
"","EPstroop","12","320920","0.0-4.8-0.8","955","","","STROOPtrain","","0","0","0","976.1884385351618","1200","700","1","1","319565","320547.7999999998","321503.2000000002"
"","EPstroop","13","323537","0.0-4.9-0.9","1194","","","STROOPtrain","","0","2","2","711.46521100195","1200","700","1","1","322212.7999999998","322931.89999999944","324126.2000000002"
"","EPstroop","14","325841","0.0-4.10-0.10","658","","","STROOPtrain","","0","0","0","940.7422150541063","1200","700","1","1","324829.5","325772","326430.39999999944"
"","EPstroop","15","328289","0.0-4.11-0.11","794","","","STROOPtrain","","0","2","2","944.6147445186427","1200","700","1","1","327133.2000000002","328084.5999999996","328878.5"
"","EPstroop","16","330672","0.0-4.12-0.12","738","","","STROOPtrain","","0","1","1","940.8870035232782","1200","700","1","1","329581.5999999996","330524.39999999944","331262.39999999944"
"","EPstroop","17","332961","0.0-4.13-0.13","675","","","STROOPtrain","","0","1","1","907.6346163213068","1200","700","1","1","331964.89999999944","332875.7999999998","333551.0999999996"
"","EPstroop","18","335392","0.0-4.14-0.14","755","","","STROOPtrain","","0","0","1","967.9280142659368","1200","700","0","0","334253.39999999944","335228.2000000002","335983"
"","EPstroop","19","337633","0.0-4.15-0.15","659","","","STROOPtrain","","0","0","0","872.0788601283659","1200","700","1","1","336685","337564","338223"
"","EPstroop","20","340200","0.0-4.16-0.16","963","","","STROOPtrain","","0","1","2","887.8616208933867","1200","700","0","0","338925","339820.89999999944","340783.5"
"","EPstroop","21","342705","0.0-4.17-0.17","970","","","STROOPtrain","","0","2","2","826.6639364961871","1200","700","1","1","341492.39999999944","342324.5999999996","343294.89999999944"
"","external-html","22","350660","0.0-5.0-0.0","7803","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","350725","0.0-6.0","","","","","59.799999999813735","","","","","","","","","","",""
"","call-function","24","350891","0.0-7.0","","","","","165.09999999962747","","","","","","","","","","",""
"","EPstroop","25","353449","0.0-8.0-0.0","757","","","STROOPmain","","0","1","1","1078.4126212854367","1200","700","1","1","352187.2999999998","353274.2000000002","354036.5"
"","EPstroop","26","355681","0.0-8.1-0.1","762","","","STROOPmain","","1","0","2","765.4965182454462","1200","700","0","0","354741.2999999998","355508.5","356270.89999999944"
"","EPstroop","27","358201","0.0-8.2-0.2","890","","","STROOPmain","","2","1","1","917.1509894073265","1200","700","1","1","356973.7999999998","357892.7999999998","358783.2999999998"
"","EPstroop","28","360705","0.0-8.3-0.3","913","","","STROOPmain","","3","2","2","880.3392321761797","1200","700","1","1","359493.5","360380.89999999944","361294.2999999998"
"","EPstroop","29","363113","0.0-8.4-0.4","787","","","STROOPmain","","4","2","2","904.8825969099457","1200","700","1","1","361996.2999999998","362908.39999999944","363695.39999999944"
"","EPstroop","30","365713","0.0-8.5-0.5","978","","","STROOPmain","","5","0","0","910.4449493534207","1200","700","1","1","364405.5999999996","365323.7999999998","366302.5"
"","EPstroop","31","368001","0.0-8.6-0.6","555","","","STROOPmain","","6","0","0","1026.4932076010987","1200","700","1","1","367005.2999999998","368036","368591.0999999996"
"","EPstroop","32","370321","0.0-8.7-0.7","699","","","STROOPmain","","7","2","2","917.8808624233053","1200","700","1","1","369293.7000000002","370211.7000000002","370911"
"","EPstroop","33","372433","0.0-8.8-0.8","507","","","STROOPmain","","8","2","2","898.1863091378094","1200","700","1","1","371613.5999999996","372516","373023.2999999998"
"","EPstroop","34","374992","0.0-8.9-0.9","1011","","","STROOPmain","","9","1","0","842.6574079172678","1200","700","0","0","373725.39999999944","374572.5","375583.2000000002"
"","EPstroop","35","377553","0.0-8.10-0.10","987","","","STROOPmain","","10","2","2","869.6431296007272","1200","700","1","1","376284.89999999944","377155.7999999998","378143.2000000002"
"","EPstroop","36","380385","0.0-8.11-0.11","-1","","","STROOPmain","","11","0","2","918.2179325190226","1200","700","-1","0","378844.5","379763.5999999996","380972.2999999998"
"","EPstroop","37","382929","0.0-8.12-0.12","995","","","STROOPmain","","12","0","2","839.8344394318348","1200","700","1","0","381677.0999999996","382524.2000000002","383519"
"","EPstroop","38","385753","0.0-8.13-0.13","1052","","","STROOPmain","","13","1","1","1061.8499378235272","1200","700","1","1","384221.5","385283.5999999996","386335.5"
"","EPstroop","39","387889","0.0-8.14-0.14","674","","","STROOPmain","","14","1","1","750.9647664536071","1200","700","1","1","387045.39999999944","387804.5","388479.2000000002"
"","EPstroop","40","390337","0.0-8.15-0.15","651","","","STROOPmain","","15","2","2","1090.7900923979487","1200","700","1","1","389181.39999999944","390276","390927.2000000002"
"","EPstroop","41","392481","0.0-8.16-0.16","443","","","STROOPmain","","16","2","2","996.0210516942623","1200","700","1","1","391629.39999999944","392627.39999999944","393070.2000000002"
"","EPstroop","42","394817","0.0-8.17-0.17","843","","","STROOPmain","","17","1","1","785.974666552783","1200","700","1","1","393772.39999999944","394563.7000000002","395407.0999999996"
"","EPstroop","43","397360","0.0-8.18-0.18","915","","","STROOPmain","","18","1","2","924.2555629376882","1200","700","0","0","396108.2999999998","397036.2999999998","397951.2000000002"
"","EPstroop","44","399809","0.0-8.19-0.19","842","","","STROOPmain","","19","0","0","899.1468935875812","1200","700","1","1","398652.2000000002","399556.5999999996","400399.2000000002"
"","EPstroop","45","402386","0.0-8.20-0.20","938","","","STROOPmain","","20","2","0","930.6840435168822","1200","700","0","0","401101.2999999998","402035.7999999998","402974.0999999996"
"","EPstroop","46","404897","0.0-8.21-0.21","834","","","STROOPmain","","21","2","2","967.2273769636456","1200","700","1","1","403678.0999999996","404652.39999999944","405487.0999999996"
"","EPstroop","47","407609","0.0-8.22-0.22","-1","","","STROOPmain","","22","2","1","791.6902069084838","1200","700","-1","0","406189","406988.2000000002","408196.2000000002"
"","EPstroop","48","410032","0.0-8.23-0.23","651","","","STROOPmain","","23","1","1","1063.5258900003994","1200","700","1","1","408901.2000000002","409972.2999999998","410623"
"","EPstroop","49","412673","0.0-8.24-0.24","953","","","STROOPmain","","24","0","0","979.1979969779022","1200","700","1","1","411324.7000000002","412308.7999999998","413262"
"","EPstroop","50","414769","0.0-8.25-0.25","563","","","STROOPmain","","25","0","0","823.3577290470612","1200","700","1","1","413965.2999999998","414795.7999999998","415359.0999999996"
"","EPstroop","51","417010","0.0-8.26-0.26","491","","","STROOPmain","","26","0","0","1044.88888399775","1200","700","1","1","416061.2000000002","417107.7000000002","417599"
"","EPstroop","52","419521","0.0-8.27-0.27","1067","","","STROOPmain","","27","2","2","739.9195931417648","1200","700","1","1","418302.0999999996","419044","420111.2000000002"
"","EPstroop","53","421937","0.0-8.28-0.28","658","","","STROOPmain","","28","1","1","1050.7766316249488","1200","700","1","1","420813.7000000002","421868.39999999944","422527.0999999996"
"","EPstroop","54","424841","0.0-8.29-0.29","-1","","","STROOPmain","","29","1","2","987.2883942316406","1200","700","-1","0","423229.0999999996","424220.2000000002","425428"
"","EPstroop","55","427072","0.0-8.30-0.30","611","","","STROOPmain","","30","1","1","914.0561043027974","1200","700","1","1","426133.39999999944","427051.89999999944","427663.0999999996"
"","EPstroop","56","429361","0.0-8.31-0.31","618","","","STROOPmain","","31","1","1","960.4540634110538","1200","700","1","1","428364.7000000002","429332.5999999996","429951"
"","EPstroop","57","432057","0.0-8.32-0.32","1028","","","STROOPmain","","32","2","2","954.8864151225433","1200","700","1","1","430653.2999999998","431611.5999999996","432639.39999999944"
"","EPstroop","58","434289","0.0-8.33-0.33","554","","","STROOPmain","","33","0","0","973.0832419050205","1200","700","1","1","433349.7999999998","434324.5","434878.2000000002"
"","EPstroop","59","436817","0.0-8.34-0.34","1018","","","STROOPmain","","34","1","0","799.5127771670268","1200","700","1","0","435581.5999999996","436388.39999999944","437407"
"","EPstroop","60","439409","0.0-8.35-0.35","875","","","STROOPmain","","35","1","1","1011.2813633501195","1200","700","1","1","438109.0999999996","439123.89999999944","439999"
"","EPstroop","61","442129","0.0-8.36-0.36","1067","","","STROOPmain","","36","0","1","946.9096374797415","1200","700","1","0","440700.5999999996","441651.7999999998","442719.2000000002"
"","EPstroop","62","444513","0.0-8.37-0.37","858","","","STROOPmain","","37","2","1","814.7367507828192","1200","700","1","0","443421.7000000002","444244.2000000002","445102.2999999998"
"","EPstroop","63","446752","0.0-8.38-0.38","450","","","STROOPmain","","38","1","2","1079.9737521020488","1200","700","1","0","445804.89999999944","446892.39999999944","447343"
"","EPstroop","64","449024","0.0-8.39-0.39","851","","","STROOPmain","","39","2","1","714.1217565698471","1200","700","1","0","448044.0999999996","448763.89999999944","449615"
"","EPstroop","65","451944","0.0-8.40-0.40","-1","","","STROOPmain","","40","1","1","1003.7046537689727","1200","700","-1","1","450316.2999999998","451324.2999999998","452532.7000000002"
"","EPstroop","66","454321","0.0-8.41-0.41","754","","","STROOPmain","","41","0","0","912.7667552766867","1200","700","1","1","453236.7000000002","454156.5","454911.0999999996"
"","EPstroop","67","456944","0.0-8.42-0.42","-1","","","STROOPmain","","42","2","2","702.3677490582699","1200","700","-1","1","455613.5","456323.89999999944","457531.5999999996"
"","EPstroop","68","458850","0.0-8.43-0.43","466","","","STROOPmain","","43","0","2","732.0299442565328","1200","700","1","0","458236.2000000002","458971.7000000002","459438.2999999998"
"","EPstroop","69","461202","0.0-8.44-0.44","730","","","STROOPmain","","44","0","0","911.4918028288129","1200","700","1","1","460140.89999999944","461060.7999999998","461790.89999999944"
"","EPstroop","70","463218","0.0-8.45-0.45","554","","","STROOPmain","","45","1","1","753.613552722785","1200","700","1","1","462494.2999999998","463252.2000000002","463806"
"","EPstroop","71","465417","0.0-8.46-0.46","627","","","STROOPmain","","46","1","1","859.7815877351118","1200","700","1","1","464509.5","465371.89999999944","465999.39999999944"
"","EPstroop","72","467730","0.0-8.47-0.47","626","","","STROOPmain","","47","0","0","977.9485206946479","1200","700","1","1","466709.0999999996","467692.2000000002","468318.5999999996"
"","EPstroop","73","470481","0.0-8.48-0.48","-1","","","STROOPmain","","48","0","1","836.6474391584761","1200","700","-1","0","469021.7999999998","469860.39999999944","471068.39999999944"
"","EPstroop","74","472689","0.0-8.49-0.49","634","","","STROOPmain","","49","1","2","866.9358037892057","1200","700","1","0","471772.5","472643.7999999998","473277.89999999944"
"","EPstroop","75","475353","0.0-8.50-0.50","-1","","","STROOPmain","","50","2","0","750.41289886079","1200","700","-1","0","473980.89999999944","474731.7999999998","475941.39999999944"
"","EPstroop","76","477914","0.0-8.51-0.51","1138","","","STROOPmain","","51","0","1","708.1509261640888","1200","700","1","0","476644.5","477356.7999999998","478495.2999999998"
"","EPstroop","77","480593","0.0-8.52-0.52","875","","","STROOPmain","","52","1","0","1096.2812350906054","1200","700","1","0","479205.0999999996","480307.7000000002","481182.89999999944"
