"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","4895","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","48488","0.0-1.0-0.0","43536","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","58359","0.0-2.0-0.0","9786","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","58442","0.0-3.0","","","","","80.40000000037253","","","","","","","","","","",""
"","EPstroop","4","61129","0.0-4.0-0.0","-1","","","STROOPtrain","","0","0","1","769.2695652646738","1200","700","-1","0","58889.89999999851","59664.39999999851","60871.79999999888"
"","EPstroop","5","63080","0.0-4.1-0.1","143","","","STROOPtrain","","0","1","0","1096.2252744608693","1200","700","1","0","61578.699999999255","62680.29999999888","62823.39999999851"
"","EPstroop","6","65465","0.0-4.2-0.2","645","","","STROOPtrain","","0","0","0","1023.5878525013683","1200","700","1","1","63529.09999999963","64561.39999999851","65206.79999999888"
"","EPstroop","7","67640","0.0-4.3-0.3","415","","","STROOPtrain","","0","2","2","1050.3151332483594","1200","700","1","1","65913.39999999851","66967.59999999963","67382.89999999851"
"","EPstroop","8","69833","0.0-4.4-0.4","550","","","STROOPtrain","","0","1","2","931.1438912100393","1200","700","0","0","68089.39999999851","69024.39999999851","69574.79999999888"
"","EPstroop","9","72616","0.0-4.5-0.5","-1","","","STROOPtrain","","0","2","1","866.9604348075413","1200","700","-1","0","70282.59999999963","71151.89999999851","72360.19999999925"
"","EPstroop","10","74904","0.0-4.6-0.6","654","","","STROOPtrain","","0","0","0","923.8038759738035","1200","700","1","1","73064.19999999925","73992.19999999925","74645.89999999851"
"","EPstroop","11","77433","0.0-4.7-0.7","977","","","STROOPtrain","","0","2","2","843.9672816116441","1200","700","1","1","75352.89999999851","76199.59999999963","77176.69999999925"
"","EPstroop","12","79976","0.0-4.8-0.8","919","","","STROOPtrain","","0","0","2","912.0395341273043","1200","700","0","0","77881.79999999888","78800.29999999888","79718.89999999851"
"","EPstroop","13","82920","0.0-4.9-0.9","-1","","","STROOPtrain","","0","2","2","1027.0125886183569","1200","700","-1","1","80424.79999999888","81456.89999999851","82664"
