"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","2051","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","58878","0.0-1.0-0.0","56745","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","63866","0.0-2.0-0.0","4892","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","63956","0.0-3.0","","","","","85.6000000005588","","","","","","","","","","",""
"","EPstroop","4","66957","0.0-4.0-0.0","-1","","","STROOPtrain","","0","0","0","1085.9679917412047","1200","700","-1","1","69472.5","70561.70000000019","71770"
"","EPstroop","5","69917","0.0-4.1-0.1","-1","","","STROOPtrain","","0","1","1","1037.0812719512903","1200","700","-1","1","72475.79999999981","73521.39999999944","74729.5"
"","EPstroop","6","71980","0.0-4.2-0.2","637","","","STROOPtrain","","0","0","0","711.3503053756447","1200","700","1","1","75434.89999999944","76153.79999999981","76792.89999999944"
"","EPstroop","7","74061","0.0-4.3-0.3","397","","","STROOPtrain","","0","2","2","968.590425535119","1200","700","1","1","77497.5","78473.59999999963","78870.39999999944"
"","EPstroop","8","76396","0.0-4.4-0.4","765","","","STROOPtrain","","0","0","1","855.9049992599039","1200","700","1","0","79578.39999999944","80441.39999999944","81206.89999999944"
"","EPstroop","9","78381","0.0-4.5-0.5","317","","","STROOPtrain","","0","0","2","955.5454931559032","1200","700","1","0","81914.09999999963","82874.39999999944","83191"
"","EPstroop","10","80477","0.0-4.6-0.6","413","","","STROOPtrain","","0","2","2","968.9333640661107","1200","700","0","1","83898.89999999944","84874","85287.29999999981"
"","EPstroop","11","82652","0.0-4.7-0.7","381","","","STROOPtrain","","0","2","2","1084.6615302816135","1200","700","1","1","85993.79999999981","87081.39999999944","87462.29999999981"
"","EPstroop","12","84717","0.0-4.8-0.8","542","","","STROOPtrain","","0","0","0","807.9598484858769","1200","700","1","1","88170.09999999963","88985.09999999963","89526.89999999944"
"","EPstroop","13","86477","0.0-4.9-0.9","293","","","STROOPtrain","","0","1","1","751.9013676799925","1200","700","1","1","90234.89999999944","90993.5","91287"
"","EPstroop","14","88493","0.0-4.10-0.10","342","","","STROOPtrain","","0","2","0","962.2198469918956","1200","700","1","0","91994.59999999963","92961.20000000019","93302.89999999944"
"","EPstroop","15","90557","0.0-4.11-0.11","630","","","STROOPtrain","","0","1","0","722.1138255226803","1200","700","0","0","94009.79999999981","94736.89999999944","95367.29999999981"
"","EPstroop","16","92493","0.0-4.12-0.12","397","","","STROOPtrain","","0","0","0","829.3634405821979","1200","700","1","1","96074.70000000019","96905.39999999944","97301.89999999944"
"","EPstroop","17","94878","0.0-4.13-0.13","798","","","STROOPtrain","","0","1","1","873.4062288124076","1200","700","1","1","98010.20000000019","98889.20000000019","99686.89999999944"
"","EPstroop","18","96973","0.0-4.14-0.14","501","","","STROOPtrain","","0","2","2","879.270234433156","1200","700","1","1","100395.20000000019","101281.29999999981","101782.29999999981"
"","EPstroop","19","98781","0.0-4.15-0.15","381","","","STROOPtrain","","0","1","2","711.7582849745046","1200","700","1","0","102489.5","103209.5","103590.70000000019"
"","EPstroop","20","100718","0.0-4.16-0.16","317","","","STROOPtrain","","0","1","1","904.0523036689133","1200","700","1","1","104297.70000000019","105209.39999999944","105526.29999999981"
"","EPstroop","21","102685","0.0-4.17-0.17","397","","","STROOPtrain","","0","2","1","858.1607282458909","1200","700","1","0","106235.29999999981","107097.5","107494"
"","external-html","22","105707","0.0-5.0-0.0","2940","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","105770","0.0-6.0","","","","","58.799999999813735","","","","","","","","","","",""
"","call-function","24","105837","0.0-7.0","","","","","66.20000000018626","","","","","","","","","","",""
"","EPstroop","25","108500","0.0-8.0-0.0","1094","","","STROOPmain","","0","2","2","847.4952090146376","1200","700","1","1","111354.89999999944","112208.79999999981","113308.5"
"","EPstroop","26","110621","0.0-8.1-0.1","614","","","STROOPmain","","1","1","1","792.629480377147","1200","700","1","1","114018.09999999963","114817","115431.20000000019"
"","EPstroop","27","112700","0.0-8.2-0.2","446","","","STROOPmain","","2","2","2","920.8838418943692","1200","700","1","1","116138.59999999963","117064.59999999963","117511.39999999944"
"","EPstroop","28","115069","0.0-8.3-0.3","646","","","STROOPmain","","3","0","0","1010.1325721317723","1200","700","1","1","118217.89999999944","119233.39999999944","119879.79999999981"
"","EPstroop","29","117533","0.0-8.4-0.4","718","","","STROOPmain","","4","0","1","1030.4347322059061","1200","700","1","0","120586.59999999963","121624.5","122343.20000000019"
"","EPstroop","30","119549","0.0-8.5-0.5","462","","","STROOPmain","","5","2","2","839.4322537314507","1200","700","1","1","123050.59999999963","123897.29999999981","124359.20000000019"
"","EPstroop","31","121469","0.0-8.6-0.6","470","","","STROOPmain","","6","2","2","737.9953656517208","1200","700","1","1","125066.59999999963","125809.29999999981","126279.39999999944"
"","EPstroop","32","123709","0.0-8.7-0.7","470","","","STROOPmain","","7","1","2","1060.054094905258","1200","700","1","0","126986.39999999944","128049.09999999963","128519.5"
"","EPstroop","33","125677","0.0-8.8-0.8","550","","","STROOPmain","","8","1","1","709.7863660175356","1200","700","1","1","129226.20000000019","129937.20000000019","130487.20000000019"
"","EPstroop","34","127821","0.0-8.9-0.9","437","","","STROOPmain","","9","1","0","994.4945984211929","1200","700","1","0","131194.7999999998","132193.7999999998","132631.2000000002"
"","EPstroop","35","130045","0.0-8.10-0.10","614","","","STROOPmain","","10","2","2","899.8977552793631","1200","700","1","1","133338","134241.2999999998","134855.2000000002"
"","EPstroop","36","132013","0.0-8.11-0.11","438","","","STROOPmain","","11","1","1","821.3756349349295","1200","700","1","1","135561.2999999998","136385","136822.59999999963"
"","EPstroop","37","134141","0.0-8.12-0.12","486","","","STROOPmain","","12","0","0","928.1544507058097","1200","700","1","1","137530.09999999963","138464.89999999944","138951.5"
"","EPstroop","38","136125","0.0-8.13-0.13","540","","","STROOPmain","","13","2","2","732.4232003496156","1200","700","1","1","139657.7999999998","140394.39999999944","140935"
"","EPstroop","39","138349","0.0-8.14-0.14","638","","","STROOPmain","","14","0","2","873.821731280135","1200","700","1","0","141641.89999999944","142521.2000000002","143159.2000000002"
"","EPstroop","40","140589","0.0-8.15-0.15","614","","","STROOPmain","","15","0","0","913.7588477117056","1200","700","1","1","143865.2999999998","144784.7999999998","145399.2000000002"
"","EPstroop","41","142733","0.0-8.16-0.16","726","","","STROOPmain","","16","1","1","706.0352750445819","1200","700","1","1","146106.5","146817","147543.2000000002"
"","EPstroop","42","145085","0.0-8.17-0.17","733","","","STROOPmain","","17","1","1","910.9706901187443","1200","700","1","1","148250.09999999963","149161.2000000002","149894.39999999944"
"","EPstroop","43","147389","0.0-8.18-0.18","822","","","STROOPmain","","18","1","1","773.5175929650632","1200","700","1","1","150602.59999999963","151377.2000000002","152199"
"","EPstroop","44","149756","0.0-8.19-0.19","566","","","STROOPmain","","19","2","0","1091.9102791849004","1200","700","1","0","152906.09999999963","154001.39999999944","154567.09999999963"
"","EPstroop","45","151950","0.0-8.20-0.20","652","","","STROOPmain","","20","1","1","830.6234423030003","1200","700","1","1","155273.7999999998","156106.59999999963","156759"
"","EPstroop","46","153901","0.0-8.21-0.21","485","","","STROOPmain","","21","1","2","752.7655855858181","1200","700","1","0","157467.39999999944","158226.09999999963","158711.09999999963"
"","EPstroop","47","156286","0.0-8.22-0.22","751","","","STROOPmain","","22","2","1","919.7151181771105","1200","700","1","0","159418.09999999963","160344.5","161095.2999999998"
"","EPstroop","48","158381","0.0-8.23-0.23","550","","","STROOPmain","","23","1","1","834.9756708785138","1200","700","1","1","161802.89999999944","162641.2000000002","163191.09999999963"
