"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","1926","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","14954","0.0-1.0-0.0","12957","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","19819","0.0-2.0-0.0","4781","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","19881","0.0-3.0","","","","","57.79999998211861","","","","","","","","","","",""
"","EPstroop","4","22088","0.0-4.0-0.0","740","","","STROOPtrain","","0","0","0","743.5987045944588","1200","700","1","1","20295.5","21042.20000001788","21782.5"
"","EPstroop","5","24378","0.0-4.1-0.1","489","","","STROOPtrain","","0","2","2","1073.4068651720381","1200","700","1","1","22504","23582.100000023842","24071.20000001788"
"","EPstroop","6","26258","0.0-4.2-0.2","407","","","STROOPtrain","","0","2","1","752.5450149065769","1200","700","1","0","24793.40000000596","25552.40000000596","25959.5"
"","EPstroop","7","28379","0.0-4.3-0.3","499","","","STROOPtrain","","0","2","2","884.465013692427","1200","700","1","1","26673.40000000596","27572.20000001788","28071.20000001788"
"","EPstroop","8","30470","0.0-4.4-0.4","611","","","STROOPtrain","","0","2","0","773.8581405796364","1200","700","1","0","28793.80000001192","29572.100000023842","30183.30000001192"
"","EPstroop","9","32390","0.0-4.5-0.5","481","","","STROOPtrain","","0","0","0","736.1645367806309","1200","700","1","1","30884.80000001192","31621.90000000596","32103.30000001192"
"","EPstroop","10","34358","0.0-4.6-0.6","538","","","STROOPtrain","","0","2","2","727.1314697783852","1200","700","1","1","32805.20000001788","33532.90000000596","34070.40000000596"
"","EPstroop","11","36438","0.0-4.7-0.7","480","","","STROOPtrain","","0","1","2","892.5164456114915","1200","700","1","0","34772.60000002384","35670.10000002384","36150.5"
"","EPstroop","12","38438","0.0-4.8-0.8","517","","","STROOPtrain","","0","0","0","769.5611132163692","1200","700","1","1","36853","37633.90000000596","38150.70000001788"
"","EPstroop","13","41170","0.0-4.9-0.9","-1","","","STROOPtrain","","0","1","0","828.1508933207695","1200","700","-1","0","38852.90000000596","39682.10000002384","40883"
"","EPstroop","14","43782","0.0-4.10-0.10","1036","","","STROOPtrain","","0","0","2","873.6514601186511","1200","700","1","0","41584.80000001192","42459","43495.20000001788"
"","EPstroop","15","45974","0.0-4.11-0.11","517","","","STROOPtrain","","0","1","1","972.1319472513401","1200","700","1","1","44197.20000001788","45169.90000000596","45687.20000001788"
"","EPstroop","16","48295","0.0-4.12-0.12","543","","","STROOPtrain","","0","1","1","1075.7126423513619","1200","700","1","1","46388.5","47464.90000000596","48007.5"
"","EPstroop","17","50454","0.0-4.13-0.13","550","","","STROOPtrain","","0","2","2","906.3383985896959","1200","700","1","1","48709.70000001788","49617","50167.20000001788"
"","EPstroop","18","52631","0.0-4.14-0.14","578","","","STROOPtrain","","0","1","1","895.1478020517466","1200","700","1","1","50868.90000000596","51765.40000000596","52343.10000002384"
"","EPstroop","19","54886","0.0-4.15-0.15","584","","","STROOPtrain","","0","0","0","960.5306801083186","1200","700","1","1","53046.20000001788","54015.10000002384","54599.20000001788"
"","EPstroop","20","57360","0.0-4.16-0.16","728","","","STROOPtrain","","0","1","1","1033.3079366079735","1200","700","1","1","55301.10000002384","56335.20000001788","57063.20000001788"
"","EPstroop","21","59717","0.0-4.17-0.17","815","","","STROOPtrain","","0","0","1","840.2082045271391","1200","700","1","0","57774.40000000596","58615.5","59430.70000001788"
"","external-html","22","62393","0.0-5.0-0.0","2605","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
