"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","2108","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","8595","0.0-1.0-0.0","6418","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","12116","0.0-2.0-0.0","3458","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","12199","0.0-3.0","","","","","79.29999999981374","","","","","","","","","","",""
"","EPstroop","4","15177","0.0-4.0-0.0","-1","","","STROOPtrain","","0","2","0","1033.662375140438","1200","700","-1","0","12508.399999999441","13546.700000000186","14766.299999999814"
"","EPstroop","5","18027","0.0-4.1-0.1","-1","","","STROOPtrain","","0","0","2","913.7460797121797","1200","700","-1","0","15487.399999999441","16406.299999999814","17626.200000000186"
"","EPstroop","6","20408","0.0-4.2-0.2","875","","","STROOPtrain","","0","0","1","755.8109996834289","1200","700","1","0","18337.799999999814","19116.599999999627","19993.39999999944"
"","EPstroop","7","22628","0.0-4.3-0.3","649","","","STROOPtrain","","0","0","0","834.2963215949252","1200","700","1","1","20717.099999999627","21566.39999999944","22215.39999999944"
"","EPstroop","8","24849","0.0-4.4-0.4","553","","","STROOPtrain","","0","1","1","938.1577458472348","1200","700","1","1","22937.799999999814","23886.5","24439.599999999627"
"","EPstroop","9","26849","0.0-4.5-0.5","393","","","STROOPtrain","","0","2","2","881.5868723552277","1200","700","1","1","25157.799999999814","26046.299999999814","26439.299999999814"
"","EPstroop","10","28928","0.0-4.6-0.6","612","","","STROOPtrain","","0","2","2","733.4883677207455","1200","700","1","1","27158.099999999627","27906.700000000186","28518.5"
"","EPstroop","11","31047","0.0-4.7-0.7","419","","","STROOPtrain","","0","1","1","985.4131624012937","1200","700","1","1","29237.39999999944","30226.89999999944","30646.200000000186"
"","EPstroop","12","33366","0.0-4.8-0.8","824","","","STROOPtrain","","0","0","0","772.3375584109491","1200","700","1","1","31355.799999999814","32143.700000000186","32967.299999999814"
"","EPstroop","13","35334","0.0-4.9-0.9","510","","","STROOPtrain","","0","2","1","746.6552982554838","1200","700","0","0","33674.39999999944","34426","34935.59999999963"
"","EPstroop","14","38152","0.0-4.10-0.10","1069","","","STROOPtrain","","0","1","2","1032.5272037229754","1200","700","1","0","35642.5","36682.09999999963","37751"
"","EPstroop","15","40662","0.0-4.11-0.11","724","","","STROOPtrain","","0","1","1","1073.5798429890287","1200","700","1","1","38460.700000000186","39539.09999999963","40263.39999999944"
"","EPstroop","16","42915","0.0-4.12-0.12","661","","","STROOPtrain","","0","0","0","864.5985757130659","1200","700","1","1","40971.5","41842","42503.39999999944"
"","EPstroop","17","45030","0.0-4.13-0.13","645","","","STROOPtrain","","0","2","2","755.5932830703642","1200","700","1","1","43224.299999999814","43986","44631.299999999814"
"","EPstroop","18","47814","0.0-4.14-0.14","1078","","","STROOPtrain","","0","1","0","991.9358223831903","1200","700","1","0","45339","46338.09999999963","47415.59999999963"
