"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","6832","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","15142","0.0-1.0-0.0","8246","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","20583","0.0-2.0-0.0","5366","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","20641","0.0-3.0","","","","","54","","","","","","","","","","",""
"","EPstroop","4","23409","0.0-4.0-0.0","1118","","","STROOPtrain","","0","0","0","926.3735598548204","1200","700","1","1","21088.099999999977","22022.20000000001","23139.900000000023"
"","EPstroop","5","25813","0.0-4.1-0.1","713","","","STROOPtrain","","0","0","2","977.376740430783","1200","700","1","0","23856.20000000001","24842.29999999999","25555.79999999999"
"","EPstroop","6","27766","0.0-4.2-0.2","468","","","STROOPtrain","","0","1","1","769.2420507234672","1200","700","1","1","26260.79999999999","27039.70000000001","27508"
"","EPstroop","7","30405","0.0-4.3-0.3","965","","","STROOPtrain","","0","1","0","955.2476522617815","1200","700","1","0","28213.599999999977","29181.599999999977","30147"
"","EPstroop","8","32820","0.0-4.4-0.4","636","","","STROOPtrain","","0","2","2","1066.1943147587208","1200","700","1","1","30852.5","31927.900000000023","32563.79999999999"
"","EPstroop","9","35574","0.0-4.5-0.5","967","","","STROOPtrain","","0","1","2","1079.9676765071224","1200","700","1","0","33268.09999999998","34349.20000000001","35315.70000000001"
"","EPstroop","10","37744","0.0-4.6-0.6","549","","","STROOPtrain","","0","0","0","904.1840843602814","1200","700","1","1","36021.70000000001","36927","37475.79999999999"
"","EPstroop","11","40312","0.0-4.7-0.7","895","","","STROOPtrain","","0","1","1","959.2615523238778","1200","700","1","1","38191.79999999999","39156.59999999998","40052.09999999998"
"","EPstroop","12","42430","0.0-4.8-0.8","502","","","STROOPtrain","","0","1","1","889.5831283339808","1200","700","1","1","40759.5","41661.59999999998","42163.70000000001"
"","EPstroop","13","44464","0.0-4.9-0.9","517","","","STROOPtrain","","0","1","1","795.2802598963801","1200","700","1","1","42877","43678.70000000001","44195.70000000001"
"","EPstroop","14","47142","0.0-4.10-0.10","880","","","STROOPtrain","","0","2","2","1090.8213018555693","1200","700","1","1","44911","46004.09999999998","46883.70000000001"
"","EPstroop","15","49490","0.0-4.11-0.11","925","","","STROOPtrain","","0","0","1","719.0570732409085","1200","700","1","0","47589.29999999999","48311.09999999998","49235.79999999999"
"","EPstroop","16","51968","0.0-4.12-0.12","655","","","STROOPtrain","","0","0","0","987.2737530218369","1200","700","1","1","49937.29999999999","50931.90000000002","51587.20000000001"
"","EPstroop","17","54690","0.0-4.13-0.13","-1","","","STROOPtrain","","0","2","1","800.4780761247707","1200","700","-1","0","52302.90000000002","53112.70000000001","54320.40000000002"
"","EPstroop","18","56740","0.0-4.14-0.14","476","","","STROOPtrain","","0","2","2","862.2404844047126","1200","700","1","1","55024.70000000001","55895.29999999999","56371.79999999999"
"","EPstroop","19","58776","0.0-4.15-0.15","531","","","STROOPtrain","","0","0","0","793.4205584819131","1200","700","1","1","57075.09999999998","57873","58403.59999999998"
"","EPstroop","20","61111","0.0-4.16-0.16","612","","","STROOPtrain","","0","2","2","1010.9135916247571","1200","700","1","1","59111.40000000002","60127.09999999998","60739.5"
