"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","64568","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","95574","0.0-1.0-0.0","30833","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","99474","0.0-2.0-0.0","3828","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","99534","0.0-3.0","","","","","58.30000019073486","","","","","","","","","","",""
"","EPstroop","4","101600","0.0-4.0-0.0","657","","","STROOPtrain","","0","1","1","704.3205674922989","1200","700","1","1","100457.5","101163.90000009537","101821.19999980927"
"","EPstroop","5","103697","0.0-4.1-0.1","370","","","STROOPtrain","","0","2","2","1019.7352574992028","1200","700","1","1","102524.19999980927","103547.09999990463","103916.69999980927"
"","EPstroop","6","105584","0.0-4.2-0.2","313","","","STROOPtrain","","0","0","0","869.6783846207418","1200","700","1","1","104621.2999997139","105491.7999997139","105804.90000009537"
"","EPstroop","7","107664","0.0-4.3-0.3","505","","","STROOPtrain","","0","0","0","867.8482434402395","1200","700","1","1","106507.5","107379.19999980927","107884.59999990463"
"","EPstroop","8","109713","0.0-4.4-0.4","482","","","STROOPtrain","","0","0","0","859.2165652795868","1200","700","1","1","108587.69999980927","109451.2999997139","109933"
"","EPstroop","9","111776","0.0-4.5-0.5","370","","","STROOPtrain","","0","2","2","985.5818614945504","1200","700","1","1","110636.59999990463","111627.40000009537","111997.40000009537"
"","EPstroop","10","113744","0.0-4.6-0.6","473","","","STROOPtrain","","0","0","0","788.2585963929666","1200","700","1","1","112700.19999980927","113491.69999980927","113965.19999980927"
"","EPstroop","11","115833","0.0-4.7-0.7","617","","","STROOPtrain","","0","0","2","757.9095683455837","1200","700","1","0","114668.19999980927","115427.40000009537","116044.7999997139"
"","EPstroop","12","118280","0.0-4.8-0.8","677","","","STROOPtrain","","0","1","2","1059.7767820948882","1200","700","1","0","116757.09999990463","117819.19999980927","118496"
"","EPstroop","13","120241","0.0-4.9-0.9","490","","","STROOPtrain","","0","2","0","762.4191710234894","1200","700","1","0","119203.5","119971.5","120461.5"
"","EPstroop","14","122321","0.0-4.10-0.10","331","","","STROOPtrain","","0","1","1","1039.8343609275025","1200","700","1","1","121164.40000009537","122211.09999990463","122541.69999980927"
"","EPstroop","15","124354","0.0-4.11-0.11","290","","","STROOPtrain","","0","0","1","1035.760219475369","1200","700","1","0","123243.19999980927","124283.2999997139","124573.5"
"","EPstroop","16","126545","0.0-4.12-0.12","458","","","STROOPtrain","","0","1","0","1029.956191161546","1200","700","1","0","125276.5","126307.7999997139","126765.5"
"","EPstroop","17","128705","0.0-4.13-0.13","354","","","STROOPtrain","","0","2","2","1098.921250273778","1200","700","1","1","127468.69999980927","128571.2999997139","128925"
"","EPstroop","18","130753","0.0-4.14-0.14","578","","","STROOPtrain","","0","2","1","761.3607427382087","1200","700","0","0","129628.09999990463","130395.19999980927","130973.5"
"","EPstroop","19","132881","0.0-4.15-0.15","681","","","STROOPtrain","","0","2","2","736.7850690153558","1200","700","1","1","131676.09999990463","132420.19999980927","133101.59999990463"
"","EPstroop","20","134930","0.0-4.16-0.16","489","","","STROOPtrain","","0","1","1","854.4395122857261","1200","700","1","1","133804.40000009537","134659.40000009537","135148.69999980927"
"","EPstroop","21","136898","0.0-4.17-0.17","385","","","STROOPtrain","","0","1","1","870.9967181418612","1200","700","1","1","135853","136731.40000009537","137116.7999997139"
"","external-html","22","142196","0.0-5.0-0.0","5221","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","142248","0.0-6.0","","","","","47.19999980926514","","","","","","","","","","",""
"","call-function","24","142297","0.0-7.0","","","","","48.80000019073486","","","","","","","","","","",""
"","EPstroop","25","144522","0.0-8.0-0.0","441","","","STROOPmain","","0","1","1","1064.3400144837544","1200","700","1","1","143221.09999990463","144291.19999980927","144735.09999990463"
"","EPstroop","26","146529","0.0-8.1-0.1","338","","","STROOPmain","","1","0","0","963.2182203528023","1200","700","1","1","145445.09999990463","146411.2999997139","146750"
"","EPstroop","27","148801","0.0-8.2-0.2","474","","","STROOPmain","","2","0","0","1090.4204712296814","1200","700","1","1","147452.2999997139","148547.2999997139","149021.90000009537"
"","EPstroop","28","151010","0.0-8.3-0.3","466","","","STROOPmain","","3","0","2","1032.4890861993333","1200","700","1","0","149724.69999980927","150763.40000009537","151230.19999980927"
"","EPstroop","29","153057","0.0-8.4-0.4","386","","","STROOPmain","","4","2","2","955.9083251031036","1200","700","1","1","151932.19999980927","152890.90000009537","153276.90000009537"
"","EPstroop","30","155041","0.0-8.5-0.5","298","","","STROOPmain","","5","1","1","981.044138384073","1200","700","1","1","153979.40000009537","154963.90000009537","155261.90000009537"
"","EPstroop","31","157137","0.0-8.6-0.6","442","","","STROOPmain","","6","2","0","944.0840028466075","1200","700","1","0","155963.2999997139","156915.59999990463","157357.69999980927"
"","EPstroop","32","159161","0.0-8.7-0.7","410","","","STROOPmain","","7","1","1","902.0593014964506","1200","700","1","1","158059.5","158963.40000009537","159373.7999997139"
"","EPstroop","33","161084","0.0-8.8-0.8","441","","","STROOPmain","","8","1","1","762.8888229551385","1200","700","1","1","160083.90000009537","160852.40000009537","161293.90000009537"
"","EPstroop","34","163042","0.0-8.9-0.9","482","","","STROOPmain","","9","1","1","766.7631394848187","1200","700","1","1","162007.7999997139","162779.59999990463","163261.7999997139"
"","EPstroop","35","164915","0.0-8.10-0.10","386","","","STROOPmain","","10","0","1","779.5688719323955","1200","700","1","0","163964.90000009537","164747.7999997139","165134.19999980927"
"","EPstroop","36","167057","0.0-8.11-0.11","418","","","STROOPmain","","11","0","0","1018.7990107332635","1200","700","1","1","165838.09999990463","166859.2999997139","167277.69999980927"
"","EPstroop","37","169235","0.0-8.12-0.12","490","","","STROOPmain","","12","2","1","982.8290127031212","1200","700","0","0","167980.2999997139","168963.09999990463","169453.2999997139"
"","EPstroop","38","171326","0.0-8.13-0.13","498","","","STROOPmain","","13","2","2","872.4808259705632","1200","700","1","1","170158","171035.59999990463","171533.69999980927"
"","EPstroop","39","173377","0.0-8.14-0.14","274","","","STROOPmain","","14","1","1","1066.2042232692256","1200","700","1","1","172248.59999990463","173323.5","173597.69999980927"
"","EPstroop","40","175521","0.0-8.15-0.15","466","","","STROOPmain","","15","0","0","968.0408566653289","1200","700","1","1","174299.69999980927","175275.40000009537","175742.09999990463"
"","EPstroop","41","177505","0.0-8.16-0.16","489","","","STROOPmain","","16","2","2","784.7006067403017","1200","700","0","1","176443.5","177235.40000009537","177724.90000009537"
"","EPstroop","42","179602","0.0-8.17-0.17","497","","","STROOPmain","","17","0","0","888.6615226049221","1200","700","1","1","178428","179323.59999990463","179820.69999980927"
"","EPstroop","43","182275","0.0-8.18-0.18","970","","","STROOPmain","","18","1","0","997.7074116492633","1200","700","1","0","180524.09999990463","181523","182493.69999980927"
"","EPstroop","44","184291","0.0-8.19-0.19","562","","","STROOPmain","","19","1","2","743.0074676120108","1200","700","1","0","183196.69999980927","183947.5","184509.7999997139"
"","EPstroop","45","186379","0.0-8.20-0.20","410","","","STROOPmain","","20","2","2","960.3134779446921","1200","700","1","1","185213.2999997139","186179.90000009537","186589.7999997139"
"","EPstroop","46","188594","0.0-8.21-0.21","622","","","STROOPmain","","21","1","0","881.0731796524473","1200","700","1","0","187300.19999980927","188191.2999997139","188813.59999990463"
"","EPstroop","47","190499","0.0-8.22-0.22","457","","","STROOPmain","","22","2","2","740.9739403545366","1200","700","1","1","189516.09999990463","190259.90000009537","190716.69999980927"
"","EPstroop","48","192482","0.0-8.23-0.23","378","","","STROOPmain","","23","2","2","901.4942126689425","1200","700","1","1","191420.69999980927","192323.2999997139","192701.59999990463"
"","EPstroop","49","194450","0.0-8.24-0.24","497","","","STROOPmain","","24","2","2","762.026249896577","1200","700","1","1","193404.09999990463","194171.7999997139","194669.5"
"","EPstroop","50","196996","0.0-8.25-0.25","811","","","STROOPmain","","25","0","1","1029.3163041626597","1200","700","1","0","195371.2999997139","196403.19999980927","197213.90000009537"
"","EPstroop","51","199107","0.0-8.26-0.26","354","","","STROOPmain","","26","0","0","1053.2916112646296","1200","700","1","1","197917","198971.09999990463","199325.69999980927"
"","EPstroop","52","201378","0.0-8.27-0.27","474","","","STROOPmain","","27","1","1","1092.2248266392871","1200","700","1","1","200028.2999997139","201123.2999997139","201597.69999980927"
"","EPstroop","53","203410","0.0-8.28-0.28","426","","","STROOPmain","","28","2","2","898.3124449782729","1200","700","1","1","202300.2999997139","203203.2999997139","203629.59999990463"
"","EPstroop","54","205282","0.0-8.29-0.29","385","","","STROOPmain","","29","1","2","776.7698624725336","1200","700","0","0","204332.40000009537","205116.69999980927","205501.5"
"","EPstroop","55","207474","0.0-8.30-0.30","551","","","STROOPmain","","30","0","1","930.5910997779163","1200","700","1","0","206204.40000009537","207141.7999997139","207692.59999990463"
"","EPstroop","56","209938","0.0-8.31-0.31","761","","","STROOPmain","","31","0","2","992.4391317389382","1200","700","1","0","208396","209395.7999997139","210156.69999980927"
"","EPstroop","57","211971","0.0-8.32-0.32","535","","","STROOPmain","","32","0","0","787.5423939402704","1200","700","1","1","210860.09999990463","211651.2999997139","212189"
"","EPstroop","58","213987","0.0-8.33-0.33","510","","","STROOPmain","","33","1","1","785.5498175951279","1200","700","1","1","212892","213694.19999980927","214204.69999980927"
"","EPstroop","59","216130","0.0-8.34-0.34","442","","","STROOPmain","","34","1","1","994.9427936268968","1200","700","1","1","214908","215907.2999997139","216349.69999980927"
"","EPstroop","60","218130","0.0-8.35-0.35","506","","","STROOPmain","","35","0","0","783.2528947470233","1200","700","1","1","217052.5","217843.5","218349.19999980927"
"","EPstroop","61","220083","0.0-8.36-0.36","418","","","STROOPmain","","36","0","0","827.3935720347463","1200","700","1","1","219052.2999997139","219883","220300.90000009537"
"","EPstroop","62","222116","0.0-8.37-0.37","474","","","STROOPmain","","37","1","1","852.946568492168","1200","700","1","1","221004.90000009537","221859.09999990463","222333.5"
"","EPstroop","63","224194","0.0-8.38-0.38","378","","","STROOPmain","","38","1","1","990.8529062403502","1200","700","1","1","223038.19999980927","224035.40000009537","224413.69999980927"
"","EPstroop","64","226210","0.0-8.39-0.39","338","","","STROOPmain","","39","1","2","974.1377571053938","1200","700","1","0","225116.5","226091.7999997139","226429.69999980927"
"","EPstroop","65","228547","0.0-8.40-0.40","570","","","STROOPmain","","40","1","1","1054.661796926071","1200","700","1","1","227132.69999980927","228195.59999990463","228765.90000009537"
"","EPstroop","66","230498","0.0-8.41-0.41","450","","","STROOPmain","","41","0","0","797.794935689254","1200","700","1","1","229468.90000009537","230267.2999997139","230717.59999990463"
