"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","2225","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","9792","0.0-1.0-0.0","7517","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","14927","0.0-2.0-0.0","5071","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","14979","0.0-3.0","","","","","49.60000038146973","","","","","","","","","","",""
"","EPstroop","4","17246","0.0-4.0-0.0","638","","","STROOPtrain","","0","0","0","903.2513472594685","1200","700","1","1","15330.099999904633","16241.400000095367","16879.200000286102"
"","EPstroop","5","19105","0.0-4.1-0.1","362","","","STROOPtrain","","0","1","1","779.0374480890858","1200","700","1","1","17597.599999904633","18389.099999904633","18750.700000286102"
"","EPstroop","6","20992","0.0-4.2-0.2","342","","","STROOPtrain","","0","2","2","832.9223106734623","1200","700","1","1","19457.700000286102","20295.800000190735","20638"
"","EPstroop","7","23316","0.0-4.3-0.3","535","","","STROOPtrain","","0","2","2","1074.8842970306096","1200","700","1","1","21344.099999904633","22424.400000095367","22958.900000095367"
"","EPstroop","8","25642","0.0-4.4-0.4","510","","","STROOPtrain","","0","2","2","1092.219508062104","1200","700","1","1","23667.599999904633","24768.5","25278.900000095367"
"","EPstroop","9","27572","0.0-4.5-0.5","398","","","STROOPtrain","","0","0","0","817.5277888542023","1200","700","1","1","25993.800000190735","26817.200000286102","27214.800000190735"
"","EPstroop","10","29640","0.0-4.6-0.6","485","","","STROOPtrain","","0","0","2","861.8177815592378","1200","700","1","0","27924.300000190735","28792.700000286102","29278"
"","EPstroop","11","31553","0.0-4.7-0.7","414","","","STROOPtrain","","0","2","2","789.6506826914942","1200","700","1","1","29991.700000286102","30784","31198.300000190735"
"","EPstroop","12","33762","0.0-4.8-0.8","438","","","STROOPtrain","","0","1","2","1061.2141001715643","1200","700","1","0","31905.700000286102","32968.40000009537","33406.800000190735"
"","EPstroop","13","35745","0.0-4.9-0.9","383","","","STROOPtrain","","0","0","1","892.3840354060844","1200","700","1","0","34113.09999990463","35007.7000002861","35390.59999990463"
"","EPstroop","14","37857","0.0-4.10-0.10","358","","","STROOPtrain","","0","0","0","1040.0552879433367","1200","700","1","1","36097.2000002861","37144.800000190735","37502.800000190735"
"","EPstroop","15","39953","0.0-4.11-0.11","501","","","STROOPtrain","","0","1","0","880.4833801468221","1200","700","1","0","38208.800000190735","39096.300000190735","39597.800000190735"
"","EPstroop","16","42018","0.0-4.12-0.12","447","","","STROOPtrain","","0","2","0","905.9949476204066","1200","700","1","0","40304.59999990463","41216.300000190735","41662.90000009537"
"","EPstroop","17","44050","0.0-4.13-0.13","334","","","STROOPtrain","","0","1","1","987.7552644334895","1200","700","1","1","42369.2000002861","43360.40000009537","43693.90000009537"
"","EPstroop","18","46018","0.0-4.14-0.14","447","","","STROOPtrain","","0","1","1","814.831945767156","1200","700","1","1","44400.90000009537","45215.800000190735","45662.90000009537"
"","EPstroop","19","48178","0.0-4.15-0.15","613","","","STROOPtrain","","0","2","1","838.1384687957552","1200","700","1","0","46369.09999990463","47208.7000002861","47822.09999990463"
