"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","3832","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","17372","0.0-1.0-0.0","13427","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","21869","0.0-2.0-0.0","4397","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","21998","0.0-3.0","","","","","124.59999942779541","","","","","","","","","","",""
"","EPstroop","4","24973","0.0-4.0-0.0","-1","","","STROOPtrain","","0","1","1","1025.5175094003662","1200","700","-1","1","22777.800000190735","23821.60000038147","25041.800000190735"
"","EPstroop","5","27633","0.0-4.1-0.1","995","","","STROOPtrain","","0","1","1","928.3905574262183","1200","700","1","1","25753.5","26691.60000038147","27687"
"","EPstroop","6","30200","0.0-4.2-0.2","777","","","STROOPtrain","","0","2","1","1077.6136733266521","1200","700","0","0","28413.10000038147","29501.400000572205","30278"
"","EPstroop","7","32720","0.0-4.3-0.3","1003","","","STROOPtrain","","0","0","1","803.2157006741459","1200","700","1","0","30980","31787.5","32790.800000190735"
"","EPstroop","8","34833","0.0-4.4-0.4","676","","","STROOPtrain","","0","1","0","722.9544514924089","1200","700","1","0","33499.300000190735","34227.199999809265","34902.800000190735"
"","EPstroop","9","36896","0.0-4.5-0.5","437","","","STROOPtrain","","0","0","2","897.2477530152531","1200","700","1","0","35612.900000572205","36529.699999809265","36966.699999809265"
"","EPstroop","10","39430","0.0-4.6-0.6","939","","","STROOPtrain","","0","1","1","876.1601925273886","1200","700","1","1","37676.5","38555.400000572205","39494.5"
"","EPstroop","11","41728","0.0-4.7-0.7","572","","","STROOPtrain","","0","2","2","1012.9614723443202","1200","700","1","1","40210.5","41227.300000190735","41798.900000572205"
"","EPstroop","12","44433","0.0-4.8-0.8","996","","","STROOPtrain","","0","0","0","991.4301876839027","1200","700","1","1","42508.199999809265","43507.199999809265","44502.800000190735"
"","EPstroop","13","46457","0.0-4.9-0.9","578","","","STROOPtrain","","0","2","2","735.1495453554209","1200","700","1","1","45212.60000038147","45955.5","46533.699999809265"
"","EPstroop","14","48912","0.0-4.10-0.10","779","","","STROOPtrain","","0","2","2","963.387871612317","1200","700","1","1","47236.199999809265","48203.300000190735","48982.800000190735"
"","EPstroop","15","51080","0.0-4.11-0.11","706","","","STROOPtrain","","0","0","0","756.3721945478524","1200","700","1","1","49691.10000038147","50451.400000572205","51157.800000190735"
"","EPstroop","16","53368","0.0-4.12-0.12","595","","","STROOPtrain","","0","2","2","990.0010684716026","1200","700","1","1","51859.800000190735","52851.199999809265","53446.10000038147"
"","EPstroop","17","55459","0.0-4.13-0.13","635","","","STROOPtrain","","0","0","0","737.1467847927665","1200","700","1","1","54148.10000038147","54891.10000038147","55525.800000190735"
"","EPstroop","18","57792","0.0-4.14-0.14","579","","","STROOPtrain","","0","2","0","1040.7161929304514","1200","700","1","0","56238.699999809265","57283.5","57862.60000038147"
"","EPstroop","19","60543","0.0-4.15-0.15","1132","","","STROOPtrain","","0","1","1","909.9856994440237","1200","700","1","1","58571.400000572205","59482.800000190735","60614.400000572205"
"","EPstroop","20","62728","0.0-4.16-0.16","627","","","STROOPtrain","","0","0","0","854.7497390543017","1200","700","1","1","61322.800000190735","62179.199999809265","62805.699999809265"
"","EPstroop","21","64969","0.0-4.17-0.17","451","","","STROOPtrain","","0","1","2","1087.6953656423566","1200","700","1","0","63507","64595.400000572205","65046.10000038147"
"","external-html","22","117805","0.0-5.0-0.0","52703","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","117868","0.0-6.0","","","","","61.5","","","","","","","","","","",""
"","call-function","24","118035","0.0-7.0","","","","","166","","","","","","","","","","",""
"","EPstroop","25","120889","0.0-8.0-0.0","-1","","","STROOPmain","","0","0","2","935.6836345018278","1200","700","-1","0","118813.80000019073","119755.5","120963.30000019073"
"","EPstroop","26","123673","0.0-8.1-0.1","-1","","","STROOPmain","","1","0","0","867.9555426435725","1200","700","-1","1","121668","122538.80000019073","123748.10000038147"
"","EPstroop","27","126402","0.0-8.2-0.2","-1","","","STROOPmain","","2","2","1","813.7440542458185","1200","700","-1","0","124451.69999980927","125267.69999980927","126474.9000005722"
"","EPstroop","28","128010","0.0-8.3-0.3","107","","","STROOPmain","","3","0","0","794.357973306275","1200","700","0","1","127180.60000038147","127979.5","128086.4000005722"
"","EPstroop","29","130793","0.0-8.4-0.4","-1","","","STROOPmain","","4","1","1","863.2255131136253","1200","700","-1","1","128788.5","129659","130866.69999980927"
"","EPstroop","30","133074","0.0-8.5-0.5","572","","","STROOPmain","","5","0","0","992.909762149241","1200","700","1","1","131571.80000019073","132570.60000038147","133148.80000019073"
"","EPstroop","31","135601","0.0-8.6-0.6","740","","","STROOPmain","","6","1","1","1073.7437360358347","1200","700","1","1","133852.60000038147","134931","135670.80000019073"
