"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","1064876","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","1390700","0.0-1.0-0.0","325568","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","1398029","0.0-2.0-0.0","7117","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","1398116","0.0-3.0","","","","","81.59999942779541","","","","","","","","","","",""
"","EPstroop","4","1400761","0.0-4.0-0.0","-1","","","STROOPtrain","","0","0","0","731.5836571534571","1200","700","-1","1","1398453.8999996185","1399187.1999998093","1400395.8999996185"
"","EPstroop","5","1403650","0.0-4.1-0.1","-1","","","STROOPtrain","","0","0","2","973.2161857232895","1200","700","-1","0","1401099.8000001907","1402075.6999998093","1403283.0999994278"
"","EPstroop","6","1406434","0.0-4.2-0.2","-1","","","STROOPtrain","","0","2","2","859.6651011632646","1200","700","-1","1","1403988.8999996185","1404861.6999998093","1406067.8999996185"
"","EPstroop","7","1409058","0.0-4.3-0.3","1050","","","STROOPtrain","","0","0","0","858.7599600544477","1200","700","1","1","1406773.3999996185","1407636","1408689.0999994278"
"","EPstroop","8","1411322","0.0-4.4-0.4","723","","","STROOPtrain","","0","2","2","831.7274734338057","1200","700","1","1","1409397","1410235.1999998093","1410958.0999994278"
"","EPstroop","9","1413658","0.0-4.5-0.5","738","","","STROOPtrain","","0","1","1","892.7444120040707","1200","700","1","1","1411660.5","1412555.3000001907","1413293.6999998093"
"","EPstroop","10","1416250","0.0-4.6-0.6","858","","","STROOPtrain","","0","1","0","1024.6810855101455","1200","700","0","0","1413996.5999994278","1415027.5999994278","1415886.0999994278"
