"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","6490","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","17456","0.0-1.0-0.0","10909","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","25839","0.0-2.0-0.0","8313","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","25931","0.0-3.0","","","","","89.29999999981374","","","","","","","","","","",""
"","EPstroop","4","28980","0.0-4.0-0.0","-1","","","STROOPtrain","","0","2","2","1098.0312055289905","1200","700","-1","1","26517.099999999627","27625.599999999627","28845.299999999814"
"","EPstroop","5","31646","0.0-4.1-0.1","1112","","","STROOPtrain","","0","1","1","836.3351626742004","1200","700","1","1","29567.200000000186","30415.299999999814","31527.39999999944"
"","EPstroop","6","34430","0.0-4.2-0.2","1199","","","STROOPtrain","","0","2","0","876.452534100027","1200","700","1","0","32233","33111.200000000186","34310.299999999814"
"","EPstroop","7","36590","0.0-4.3-0.3","695","","","STROOPtrain","","0","1","1","753.9033423783887","1200","700","1","1","35015.89999999944","35775.5","36470.700000000186"
"","EPstroop","8","39358","0.0-4.4-0.4","1063","","","STROOPtrain","","0","1","0","996.9815694749773","1200","700","1","0","37176.59999999963","38175.299999999814","39238.700000000186"
"","EPstroop","9","41822","0.0-4.5-0.5","920","","","STROOPtrain","","0","0","0","833.9876550585936","1200","700","1","1","39944.5","40782.700000000186","41703.09999999963"
"","EPstroop","10","44333","0.0-4.6-0.6","735","","","STROOPtrain","","0","0","1","1063.6787420259955","1200","700","1","0","42408.59999999963","43479.39999999944","44214"
"","EPstroop","11","46494","0.0-4.7-0.7","688","","","STROOPtrain","","0","0","0","762.6023570200744","1200","700","1","1","44920.09999999963","45687.200000000186","46374.799999999814"
"","EPstroop","12","48510","0.0-4.8-0.8","519","","","STROOPtrain","","0","0","0","786.7726786711974","1200","700","1","1","47081.200000000186","47871","48389.700000000186"
"","EPstroop","13","50830","0.0-4.9-0.9","815","","","STROOPtrain","","0","0","2","797.7670254260182","1200","700","1","0","49097","49895.200000000186","50710.799999999814"
"","EPstroop","14","53758","0.0-4.10-0.10","-1","","","STROOPtrain","","0","0","0","1010.4603200533537","1200","700","-1","1","51416.200000000186","52431.5","53639.09999999963"
"","EPstroop","15","55966","0.0-4.11-0.11","695","","","STROOPtrain","","0","2","1","801.7017709479504","1200","700","0","0","54343.59999999963","55150.700000000186","55846"
"","EPstroop","16","58886","0.0-4.12-0.12","-1","","","STROOPtrain","","0","2","2","1005.8696397397784","1200","700","-1","1","56552","57559.09999999963","58767.200000000186"
"","EPstroop","17","61086","0.0-4.13-0.13","551","","","STROOPtrain","","0","1","2","936.1287157578162","1200","700","0","0","59472.200000000186","60415.09999999963","60966.5"
"","EPstroop","18","63646","0.0-4.14-0.14","832","","","STROOPtrain","","0","2","2","1017.0747574792354","1200","700","1","1","61672.299999999814","62694.5","63526.200000000186"
"","EPstroop","19","66014","0.0-4.15-0.15","592","","","STROOPtrain","","0","2","2","1065.1704647167057","1200","700","1","1","64231.89999999944","65303.09999999963","65895.29999999981"
"","EPstroop","20","68429","0.0-4.16-0.16","871","","","STROOPtrain","","0","1","1","833.9476806824142","1200","700","1","1","66600.39999999944","67439.59999999963","68310.70000000019"
"","EPstroop","21","70718","0.0-4.17-0.17","599","","","STROOPtrain","","0","1","1","978.1381633234944","1200","700","1","1","69015.59999999963","69999.39999999944","70598.5"
"","external-html","22","74285","0.0-5.0-0.0","3480","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","74337","0.0-6.0","","","","","46.799999999813735","","","","","","","","","","",""
"","call-function","24","74390","0.0-7.0","","","","","52.90000000037253","","","","","","","","","","",""
"","EPstroop","25","76806","0.0-8.0-0.0","744","","","STROOPmain","","0","2","2","957.9376821749222","1200","700","1","1","74977","75934.79999999981","76685"
"","EPstroop","26","79070","0.0-8.1-0.1","528","","","STROOPmain","","1","2","2","1024.869339351581","1200","700","1","1","77392.89999999944","78422.89999999944","78951.09999999963"
"","EPstroop","27","81630","0.0-8.2-0.2","896","","","STROOPmain","","2","1","1","956.1447041230165","1200","700","1","1","79656.29999999981","80614.79999999981","81511.09999999963"
"","EPstroop","28","83630","0.0-8.3-0.3","582","","","STROOPmain","","3","1","1","706.926794427991","1200","700","1","1","82216.70000000019","82927.29999999981","83509.79999999981"
"","EPstroop","29","85870","0.0-8.4-0.4","752","","","STROOPmain","","4","2","0","774.5380655312134","1200","700","1","0","84216.70000000019","84998.79999999981","85751"
"","EPstroop","30","88030","0.0-8.5-0.5","631","","","STROOPmain","","5","2","1","819.5909215744022","1200","700","1","0","86456.39999999944","87279.20000000019","87910.29999999981"
"","EPstroop","31","90430","0.0-8.6-0.6","599","","","STROOPmain","","6","2","1","1094.1296873640208","1200","700","1","0","88615.39999999944","89711.39999999944","90311"
"","EPstroop","32","92750","0.0-8.7-0.7","750","","","STROOPmain","","7","2","0","857.5255312777251","1200","700","1","0","91016.59999999963","91879.29999999981","92629.79999999981"
