"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","2783","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","52048","0.0-1.0-0.0","49211","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","62477","0.0-2.0-0.0","10371","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","62584","0.0-3.0","","","","","98.40000000037253","","","","","","","","","","",""
"","EPstroop","4","65374","0.0-4.0-0.0","-1","","","STROOPtrain","","0","2","0","876.6145899036453","1200","700","-1","0","63547.199999999255","64425.09999999963","65632.69999999925"
"","EPstroop","5","68293","0.0-4.1-0.1","-1","","","STROOPtrain","","0","2","2","1005.5829173312818","1200","700","-1","1","66338.29999999888","67344.90000000037","68552.79999999888"
"","EPstroop","6","71062","0.0-4.2-0.2","-1","","","STROOPtrain","","0","0","0","848.2941591085561","1200","700","-1","1","69256.90000000037","70112.19999999925","71319.90000000037"
"","EPstroop","7","73454","0.0-4.3-0.3","726","","","STROOPtrain","","0","2","2","950.2540702610347","1200","700","1","1","72025.79999999888","72984.5","73711.69999999925"
"","EPstroop","8","76221","0.0-4.4-0.4","-1","","","STROOPtrain","","0","0","0","852.5737105671902","1200","700","-1","1","74417.79999999888","75272.40000000037","76480.69999999925"
"","EPstroop","9","79117","0.0-4.5-0.5","-1","","","STROOPtrain","","0","0","1","981.2627534487417","1200","700","-1","0","77185","78168.59999999963","79375.79999999888"
"","EPstroop","10","81518","0.0-4.6-0.6","942","","","STROOPtrain","","0","1","1","743.2209875540215","1200","700","1","1","80081.5","80832.69999999925","81774.29999999888"
"","EPstroop","11","83774","0.0-4.7-0.7","575","","","STROOPtrain","","0","2","2","967.2098168468285","1200","700","1","1","82481.40000000037","83455.79999999888","84030.40000000037"
"","EPstroop","12","86142","0.0-4.8-0.8","726","","","STROOPtrain","","0","1","1","931.1833447541849","1200","700","1","1","84737.79999999888","85672.79999999888","86398.79999999888"
"","EPstroop","13","88717","0.0-4.9-0.9","774","","","STROOPtrain","","0","1","2","1094.5238956311516","1200","700","1","0","87105.40000000037","88200.90000000037","88975"
"","EPstroop","14","90974","0.0-4.10-0.10","647","","","STROOPtrain","","0","1","1","899.4270354813355","1200","700","1","1","89681.09999999963","90583.79999999888","91230.90000000037"
"","EPstroop","15","93230","0.0-4.11-0.11","662","","","STROOPtrain","","0","2","2","881.7908271246372","1200","700","1","1","91937","92824.59999999963","93486.69999999925"
"","EPstroop","16","96077","0.0-4.12-0.12","-1","","","STROOPtrain","","0","2","1","927.6099969291894","1200","700","-1","0","94193.5","95128.59999999963","96336.40000000037"
"","EPstroop","17","98350","0.0-4.13-0.13","638","","","STROOPtrain","","0","0","0","920.1115804116023","1200","700","1","1","97041.40000000037","97968.79999999888","98606.90000000037"
"","EPstroop","18","100797","0.0-4.14-0.14","646","","","STROOPtrain","","0","1","1","1090.0435397083093","1200","700","1","1","99313.69999999925","100408.40000000037","101055"
"","EPstroop","19","103613","0.0-4.15-0.15","-1","","","STROOPtrain","","0","0","0","899.2506047672052","1200","700","-1","1","101761.40000000037","102664.79999999888","103871.79999999888"
"","EPstroop","20","106565","0.0-4.16-0.16","-1","","","STROOPtrain","","0","1","0","1038.4079155868687","1200","700","-1","0","104577.09999999963","105616.40000000037","106824.69999999925"
"","EPstroop","21","108861","0.0-4.17-0.17","846","","","STROOPtrain","","0","0","2","741.8265219468151","1200","700","1","0","107529.59999999963","108272.59999999963","109118.09999999963"
"","external-html","22","119195","0.0-5.0-0.0","10271","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","119270","0.0-6.0","","","","","73.59999999962747","","","","","","","","","","",""
"","call-function","24","119324","0.0-7.0","","","","","53.5","","","","","","","","","","",""
"","EPstroop","25","121950","0.0-8.0-0.0","1198","","","STROOPmain","","0","1","1","715.0721453050706","1200","700","1","1","120289.79999999888","121008.29999999888","122211.29999999888"
"","EPstroop","26","124061","0.0-8.1-0.1","566","","","STROOPmain","","1","1","1","829.6059253764606","1200","700","1","1","122914.90000000037","123752.29999999888","124319.09999999963"
"","EPstroop","27","126221","0.0-8.2-0.2","733","","","STROOPmain","","2","0","0","712.1524983209044","1200","700","1","1","125025.40000000037","125744.79999999888","126478"
"","EPstroop","28","129021","0.0-8.3-0.3","1062","","","STROOPmain","","3","2","0","1023.1200508761661","1200","700","1","0","127186","128216.09999999963","129279"
"","EPstroop","29","130972","0.0-8.4-0.4","486","","","STROOPmain","","4","1","1","751.1484581399626","1200","700","1","1","129985.40000000037","130744.79999999888","131231.5"
"","EPstroop","30","133277","0.0-8.5-0.5","574","","","STROOPmain","","5","0","0","1018.5247014601987","1200","700","1","1","131937","132960.19999999925","133535"
"","EPstroop","31","135501","0.0-8.6-0.6","783","","","STROOPmain","","6","2","0","731.4665793006096","1200","700","1","0","134241","134975.79999999888","135758.90000000037"
"","EPstroop","32","138253","0.0-8.7-0.7","990","","","STROOPmain","","7","1","2","1050.8680938671891","1200","700","1","0","136465","137520.19999999925","138510.09999999963"
"","EPstroop","33","140381","0.0-8.8-0.8","479","","","STROOPmain","","8","0","0","933.6429300057408","1200","700","1","1","139216.69999999925","140159.40000000037","140638.90000000037"
"","EPstroop","34","142893","0.0-8.9-0.9","998","","","STROOPmain","","9","2","1","805.3940874450133","1200","700","1","0","141345.40000000037","142152.59999999963","143150.29999999888"
"","EPstroop","35","145181","0.0-8.10-0.10","614","","","STROOPmain","","10","2","0","964.0767812684976","1200","700","1","0","143857.5","144825.09999999963","145439.29999999888"
"","EPstroop","36","147741","0.0-8.11-0.11","814","","","STROOPmain","","11","0","1","1032.8487514431572","1200","700","1","0","146145.90000000037","147184.29999999888","147998.90000000037"
"","EPstroop","37","149949","0.0-8.12-0.12","518","","","STROOPmain","","12","2","2","980.3721337518799","1200","700","1","1","148705.79999999888","149689","150207"
"","EPstroop","38","152286","0.0-8.13-0.13","911","","","STROOPmain","","13","0","0","716.3510523759105","1200","700","1","1","150913.19999999925","151632.19999999925","152543"
"","EPstroop","39","154861","0.0-8.14-0.14","982","","","STROOPmain","","14","1","1","878.2471558213738","1200","700","1","1","153250.69999999925","154137.19999999925","155119.09999999963"
"","EPstroop","40","157357","0.0-8.15-0.15","798","","","STROOPmain","","15","0","0","986.0156922470337","1200","700","1","1","155825.19999999925","156816.59999999963","157615"
"","EPstroop","41","159853","0.0-8.16-0.16","1054","","","STROOPmain","","16","1","2","731.1148090182286","1200","700","1","0","158321.5","159056.19999999925","160110.79999999888"
"","EPstroop","42","162349","0.0-8.17-0.17","966","","","STROOPmain","","17","1","0","819.6677640917914","1200","700","0","0","160817.5","161640.5","162606.79999999888"
