"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","9396","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","38221","0.0-1.0-0.0","28738","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","46141","0.0-2.0-0.0","7824","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","46220","0.0-3.0","","","","","74.80000001192093","","","","","","","","","","",""
"","EPstroop","4","48634","0.0-4.0-0.0","736","","","STROOPtrain","","0","1","1","972.620159380365","1200","700","1","1","46647.80000001192","47622.70000001788","48359.59999999404"
"","EPstroop","5","50940","0.0-4.1-0.1","776","","","STROOPtrain","","0","2","2","818.1695968668832","1200","700","1","1","49064.20000001788","49886.70000001788","50662.30000001192"
"","EPstroop","6","53659","0.0-4.2-0.2","-1","","","STROOPtrain","","0","0","2","802.6967831678907","1200","700","-1","0","51368.70000001788","52174","53382.5"
"","EPstroop","7","56458","0.0-4.3-0.3","-1","","","STROOPtrain","","0","2","1","880.0287949261942","1200","700","-1","0","54087.40000000596","54974.70000001788","56182.09999999404"
"","EPstroop","8","59035","0.0-4.4-0.4","1041","","","STROOPtrain","","0","0","0","829.5679748773583","1200","700","1","1","56886.70000001788","57718.20000001788","58759.20000001788"
"","EPstroop","9","61770","0.0-4.5-0.5","1016","","","STROOPtrain","","0","1","0","1010.8974887311916","1200","700","1","0","59463.90000000596","60478.80000001192","61495.30000001192"
"","EPstroop","10","64314","0.0-4.6-0.6","1056","","","STROOPtrain","","0","1","1","779.4806791086003","1200","700","1","1","62198.70000001788","62982.40000000596","64038.20000001788"
"","EPstroop","11","66554","0.0-4.7-0.7","713","","","STROOPtrain","","0","0","0","821.3661062615129","1200","700","1","1","64743.40000000596","65566.09999999404","66279"
"","EPstroop","12","68747","0.0-4.8-0.8","725","","","STROOPtrain","","0","0","0","749.0832984647208","1200","700","1","1","66982.90000000596","67746.40000000596","68471.09999999404"
"","EPstroop","13","70922","0.0-4.9-0.9","666","","","STROOPtrain","","0","0","0","801.0089431658087","1200","700","1","1","69175.5","69981.5","70647.20000001788"
"","EPstroop","14","73436","0.0-4.10-0.10","817","","","STROOPtrain","","0","2","2","985.6203036387591","1200","700","1","1","71351.30000001192","72341.80000001192","73159.30000001192"
"","EPstroop","15","75532","0.0-4.11-0.11","647","","","STROOPtrain","","0","2","2","738.785359027421","1200","700","1","1","73863","74607.5","75254.30000001192"
"","EPstroop","16","77964","0.0-4.12-0.12","849","","","STROOPtrain","","0","0","1","871.80236650956","1200","700","0","0","75959.59999999404","76838.5","77687.09999999404"
