"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","24992","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","32194","0.0-1.0-0.0","7080","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","36532","0.0-2.0-0.0","4247","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","36718","0.0-3.0","","","","","181.90000000037253","","","","","","","","","","",""
"","EPstroop","4","39540","0.0-4.0-0.0","1070","","","STROOPtrain","","0","1","1","1042.3744179656442","1200","700","1","1","37954.20000000112","39000.300000000745","40070.90000000037"
"","EPstroop","5","41668","0.0-4.1-0.1","550","","","STROOPtrain","","0","2","2","865.4796884782863","1200","700","1","1","40777.5","41648.20000000112","42198.5"
"","EPstroop","6","44229","0.0-4.2-0.2","835","","","STROOPtrain","","0","0","0","1007.6950770062164","1200","700","1","1","42904.70000000112","43922.40000000037","44757.70000000112"
"","EPstroop","7","46693","0.0-4.3-0.3","869","","","STROOPtrain","","0","0","1","885.9641004361005","1200","700","0","0","45465.40000000037","46352.20000000112","47221.20000000112"
"","EPstroop","8","49029","0.0-4.4-0.4","661","","","STROOPtrain","","0","1","1","959.1959994362145","1200","700","1","1","47928.90000000037","48896.300000000745","49557.20000000112"
"","EPstroop","9","51525","0.0-4.5-0.5","1045","","","STROOPtrain","","0","0","0","735.4502089952555","1200","700","1","1","50265.09999999963","51008","52053.300000000745"
"","EPstroop","10","54308","0.0-4.6-0.6","1054","","","STROOPtrain","","0","1","1","1017.3156962321541","1200","700","0","1","52761.20000000112","53783.5","54837.59999999963"
"","EPstroop","11","56772","0.0-4.7-0.7","725","","","STROOPtrain","","0","1","1","1023.7864052152353","1200","700","0","1","55544.09999999963","56576.09999999963","57301.40000000037"
"","EPstroop","12","58869","0.0-4.8-0.8","509","","","STROOPtrain","","0","0","0","876.8020847895289","1200","700","0","1","58009","58887.800000000745","59397.20000000112"
"","EPstroop","13","60981","0.0-4.9-0.9","693","","","STROOPtrain","","0","2","0","704.1316860783656","1200","700","1","0","60104.59999999963","60816.300000000745","61509.300000000745"
"","EPstroop","14","63897","0.0-4.10-0.10","-1","","","STROOPtrain","","0","2","1","978.9256455382083","1200","700","-1","0","62216.800000000745","63199.59999999963","64415.300000000745"
"","EPstroop","15","66596","0.0-4.11-0.11","-1","","","STROOPtrain","","0","2","2","780.6773907546522","1200","700","-1","1","65132.59999999963","65920.40000000037","67127.09999999963"
"","EPstroop","16","69356","0.0-4.12-0.12","-1","","","STROOPtrain","","0","0","2","843.8129360169501","1200","700","-1","0","67832.90000000037","68681","69888"
"","EPstroop","17","71812","0.0-4.13-0.13","711","","","STROOPtrain","","0","0","0","1033.9811671693897","1200","700","1","1","70593","71631.40000000037","72342.30000000075"
"","EPstroop","18","74419","0.0-4.14-0.14","805","","","STROOPtrain","","0","1","0","1073.9637089684177","1200","700","1","0","73049.09999999963","74127.90000000037","74933.30000000075"
"","EPstroop","19","77260","0.0-4.15-0.15","-1","","","STROOPtrain","","0","1","2","920.1310020020674","1200","700","-1","0","75655","76583.59999999963","77792"
"","EPstroop","20","79876","0.0-4.16-0.16","863","","","STROOPtrain","","0","2","2","1042.4304829121274","1200","700","1","1","78497.09999999963","79543.80000000075","80406.5"
"","EPstroop","21","82036","0.0-4.17-0.17","662","","","STROOPtrain","","0","2","2","788.3893697202923","1200","700","1","1","81113.09999999963","81904.09999999963","82566.20000000112"
"","external-html","22","89987","0.0-5.0-0.0","7389","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","90046","0.0-6.0","","","","","54.5","","","","","","","","","","",""
"","call-function","24","90208","0.0-7.0","","","","","161.2999999988824","","","","","","","","","","",""
"","EPstroop","25","92805","0.0-8.0-0.0","790","","","STROOPmain","","0","2","1","1090.33647075317","1200","700","0","0","91448.59999999963","92544","93334.30000000075"
"","EPstroop","26","95526","0.0-8.1-0.1","1159","","","STROOPmain","","1","1","2","850.4197420593562","1200","700","0","0","94041.80000000075","94895.70000000112","96054.20000000112"
"","EPstroop","27","97924","0.0-8.2-0.2","893","","","STROOPmain","","2","1","1","791.2985153455647","1200","700","1","1","96762.5","97560.70000000112","98456"
"","EPstroop","28","100180","0.0-8.3-0.3","678","","","STROOPmain","","3","0","0","868.868980971318","1200","700","1","1","99160.90000000037","100031.59999999963","100709.70000000112"
"","EPstroop","29","102818","0.0-8.4-0.4","911","","","STROOPmain","","4","0","0","999.5118576662487","1200","700","1","1","101417","102423.70000000112","103334.90000000037"
"","EPstroop","30","105268","0.0-8.5-0.5","717","","","STROOPmain","","5","1","1","1012.7015165068498","1200","700","0","1","104054.09999999963","105081.59999999963","105798.20000000112"
"","EPstroop","31","107956","0.0-8.6-0.6","-1","","","STROOPmain","","6","2","0","773.445193574641","1200","700","-1","0","106504.5","107280.40000000037","108488.59999999963"
"","EPstroop","32","110804","0.0-8.7-0.7","-1","","","STROOPmain","","7","0","0","927.9111130139481","1200","700","-1","1","109193","110127.20000000112","111335.5"
"","EPstroop","33","113468","0.0-8.8-0.8","-1","","","STROOPmain","","8","0","0","749.8141112245387","1200","700","-1","1","112041.09999999963","112791.40000000037","113999.59999999963"
"","EPstroop","34","115859","0.0-8.9-0.9","805","","","STROOPmain","","9","1","1","874.7377339577708","1200","700","1","1","114705.09999999963","115584.09999999963","116389.40000000037"
"","EPstroop","35","118372","0.0-8.10-0.10","759","","","STROOPmain","","10","0","0","1044.4742523614816","1200","700","1","1","117096.59999999963","118143.40000000037","118902.5"
"","EPstroop","36","120708","0.0-8.11-0.11","734","","","STROOPmain","","11","2","1","888.1095788908423","1200","700","0","0","119609.30000000075","120504","121238.30000000075"
"","EPstroop","37","123124","0.0-8.12-0.12","670","","","STROOPmain","","12","2","2","1037.7722971561302","1200","700","1","1","121944.70000000112","122983.80000000075","123654.5"
"","EPstroop","38","125492","0.0-8.13-0.13","766","","","STROOPmain","","13","0","1","890.82068697252","1200","700","0","0","124360.5","125255.70000000112","126022.20000000112"
"","EPstroop","39","127747","0.0-8.14-0.14","623","","","STROOPmain","","14","1","1","923.865946623073","1200","700","1","1","126729","127655.90000000037","128278.90000000037"
"","EPstroop","40","130099","0.0-8.15-0.15","598","","","STROOPmain","","15","1","1","1041.514262551178","1200","700","1","1","128984.70000000112","130031.70000000112","130630.5"
"","EPstroop","41","132452","0.0-8.16-0.16","726","","","STROOPmain","","16","0","0","916.4943634254239","1200","700","1","1","131336.59999999963","132255.70000000112","132982.40000000037"
"","EPstroop","42","134788","0.0-8.17-0.17","550","","","STROOPmain","","17","0","0","1072.8682396448185","1200","700","1","1","133689.09999999963","134768.09999999963","135318.40000000037"
"","EPstroop","43","137628","0.0-8.18-0.18","-1","","","STROOPmain","","18","0","2","920.753522476773","1200","700","-1","0","136025.20000000112","136952.70000000112","138160.20000000112"
"","EPstroop","44","140619","0.0-8.19-0.19","-1","","","STROOPmain","","19","1","0","1074.7532159773386","1200","700","-1","0","138865.20000000112","139943.70000000112","141151.09999999963"
"","EPstroop","45","143251","0.0-8.20-0.20","-1","","","STROOPmain","","20","1","1","712.7257586777355","1200","700","-1","1","141855.59999999963","142576.30000000075","143783.80000000075"
"","EPstroop","46","146147","0.0-8.21-0.21","1197","","","STROOPmain","","21","2","0","991.0083945475417","1200","700","0","0","144487.59999999963","145481","146678.5"
"","EPstroop","47","148788","0.0-8.22-0.22","910","","","STROOPmain","","22","0","1","1020.8697079224248","1200","700","1","0","147384.5","148408.09999999963","149318.40000000037"
"","EPstroop","48","150932","0.0-8.23-0.23","670","","","STROOPmain","","23","2","2","765.9990484541864","1200","700","1","1","150025.09999999963","150791.70000000112","151462.40000000037"
"","EPstroop","49","153220","0.0-8.24-0.24","606","","","STROOPmain","","24","0","0","972.4743025408355","1200","700","1","1","152169.30000000075","153144.09999999963","153750.5"
"","EPstroop","50","155220","0.0-8.25-0.25","582","","","STROOPmain","","25","1","1","706.8961859148804","1200","700","1","1","154457.09999999963","155167.80000000075","155750.40000000037"
"","EPstroop","51","157828","0.0-8.26-0.26","838","","","STROOPmain","","26","0","2","1057.397475599811","1200","700","1","0","156457","157520","158358.59999999963"
"","EPstroop","52","160548","0.0-8.27-0.27","-1","","","STROOPmain","","27","1","0","804.2679612400563","1200","700","-1","0","159065","159871.40000000037","161079.90000000037"
