"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","4549","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","83085","0.0-1.0-0.0","78475","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","87512","0.0-2.0-0.0","4227","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","87581","0.0-3.0","","","","","66.59999999403954","","","","","","","","","","",""
"","EPstroop","4","90101","0.0-4.0-0.0","1079","","","STROOPtrain","","0","2","0","739.8754240272656","1200","700","0","0","88043.09999999404","88783.39999999106","89862.29999999702"
"","EPstroop","5","92822","0.0-4.1-0.1","-1","","","STROOPtrain","","0","0","1","817.1896160825836","1200","700","-1","0","90563.59999999404","91381.89999999106","92583.19999998808"
"","EPstroop","6","95512","0.0-4.2-0.2","901","","","STROOPtrain","","0","0","0","1083.4829166361212","1200","700","1","1","93285.29999999702","94369.59999999404","95271"
"","EPstroop","7","98503","0.0-4.3-0.3","-1","","","STROOPtrain","","0","1","2","1088.016427722539","1200","700","-1","0","95973.39999999106","97062.39999999106","98263"
"","EPstroop","8","101298","0.0-4.4-0.4","-1","","","STROOPtrain","","0","1","0","893.7567921765137","1200","700","-1","0","98964.29999999702","99858.5","101058.79999999702"
"","EPstroop","9","104023","0.0-4.5-0.5","973","","","STROOPtrain","","0","1","1","1048.3439137500025","1200","700","1","1","101760.5","102809.39999999106","103782.69999998808"
"","EPstroop","10","106103","0.0-4.6-0.6","581","","","STROOPtrain","","0","2","2","796.4938460270165","1200","700","1","1","104484.59999999404","105281.89999999106","105863"
"","EPstroop","11","108374","0.0-4.7-0.7","562","","","STROOPtrain","","0","0","0","1007.5966432559321","1200","700","1","1","106564.59999999404","107572.89999999106","108134.69999998808"
"","EPstroop","12","111285","0.0-4.8-0.8","-1","","","STROOPtrain","","0","2","1","1007.5419064254495","1200","700","-1","0","108835.59999999404","109843.79999999702","111044.89999999106"
"","EPstroop","13","113919","0.0-4.9-0.9","-1","","","STROOPtrain","","0","0","2","717.7425405636088","1200","700","-1","0","111746.89999999106","112466","113678.79999999702"
