"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","3011","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","11514","0.0-1.0-0.0","8609","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","17754","0.0-2.0-0.0","6179","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","17865","0.0-3.0","","","","","105.90000000002328","","","","","","","","","","",""
"","EPstroop","4","20698","0.0-4.0-0.0","-1","","","STROOPtrain","","0","0","1","874.9409811822129","1200","700","-1","0","18287.699999999953","19180.5","20400.199999999953"
"","EPstroop","5","23388","0.0-4.1-0.1","-1","","","STROOPtrain","","0","1","1","748.3165082525734","1200","700","-1","1","21121.599999999977","21880.399999999907","23090.399999999907"
"","EPstroop","6","26118","0.0-4.2-0.2","1113","","","STROOPtrain","","0","2","2","881.2010293693536","1200","700","1","1","23810.599999999977","24710.29999999993","25823.199999999953"
"","EPstroop","7","28838","0.0-4.3-0.3","922","","","STROOPtrain","","0","2","2","1061.6013307991202","1200","700","1","1","26541.29999999993","27620.199999999953","28542"
"","EPstroop","8","31514","0.0-4.4-0.4","1081","","","STROOPtrain","","0","0","0","879.8243477104525","1200","700","1","1","29261.5","30149.899999999907","31231.099999999977"
"","EPstroop","9","34162","0.0-4.5-0.5","-1","","","STROOPtrain","","0","0","2","734.3943362079073","1200","700","-1","0","31937.199999999953","32672.79999999993","33880"
"","EPstroop","10","36938","0.0-4.6-0.6","1055","","","STROOPtrain","","0","1","1","1011.3546196961721","1200","700","1","1","34585.5","35600.29999999993","36655"
"","EPstroop","11","39690","0.0-4.7-0.7","966","","","STROOPtrain","","0","1","1","1078.4928864765407","1200","700","1","1","37361.5","38441","39407.29999999993"
"","EPstroop","12","42307","0.0-4.8-0.8","-1","","","STROOPtrain","","0","2","0","703.0797102493123","1200","700","-1","0","40112.5","40816.29999999993","42024.79999999993"
"","EPstroop","13","45060","0.0-4.9-0.9","-1","","","STROOPtrain","","0","1","2","836.9142361717777","1200","700","-1","0","42729.69999999995","43568.89999999991","44775.89999999991"
"","EPstroop","14","47738","0.0-4.10-0.10","1030","","","STROOPtrain","","0","0","0","934.3890548414197","1200","700","1","1","45482.59999999998","46424.79999999993","47455.19999999995"
"","EPstroop","15","50075","0.0-4.11-0.11","894","","","STROOPtrain","","0","2","2","731.3748757750533","1200","700","1","1","48161.19999999995","48896.79999999993","49790.5"
"","EPstroop","16","53074","0.0-4.12-0.12","-1","","","STROOPtrain","","0","1","0","1078.0125834018172","1200","700","-1","0","50498.19999999995","51584.59999999998","52793.79999999993"
"","EPstroop","17","55675","0.0-4.13-0.13","887","","","STROOPtrain","","0","2","2","1003.7334515903347","1200","700","1","1","53497.59999999998","54504.59999999998","55391.39999999991"
"","EPstroop","18","58202","0.0-4.14-0.14","941","","","STROOPtrain","","0","0","0","876.373732729689","1200","700","1","1","56098.39999999991","56977.39999999991","57918.29999999993"
"","EPstroop","19","61130","0.0-4.15-0.15","-1","","","STROOPtrain","","0","2","1","1012.5560988757893","1200","700","-1","0","58625.39999999991","59641.29999999993","60849.59999999998"
"","EPstroop","20","63674","0.0-4.16-0.16","1007","","","STROOPtrain","","0","1","1","824.6181948409226","1200","700","1","1","61553.29999999993","62384.29999999993","63391.09999999998"
"","EPstroop","21","66202","0.0-4.17-0.17","1063","","","STROOPtrain","","0","0","0","757.69241510739","1200","700","1","1","64097.19999999995","64856.5","65919.5"
"","external-html","22","73297","0.0-5.0-0.0","4118","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","73348","0.0-6.0","","","","","46.29999999993015","","","","","","","","","","",""
"","call-function","24","73511","0.0-7.0","","","","","162","","","","","","","","","","",""
"","EPstroop","25","76146","0.0-8.0-0.0","-1","","","STROOPmain","","0","1","2","714.7922222230418","1200","700","-1","0","74038.69999999995","74760.09999999998","75967.8999999999"
"","EPstroop","26","78902","0.0-8.1-0.1","966","","","STROOPmain","","1","0","0","1055.0377276978304","1200","700","1","1","76673.79999999993","77736.69999999995","78709"
"","EPstroop","27","81746","0.0-8.2-0.2","-1","","","STROOPmain","","2","1","1","923.9201733853819","1200","700","-1","1","79429.19999999995","80360.09999999998","81568.69999999995"
"","EPstroop","28","84514","0.0-8.3-0.3","-1","","","STROOPmain","","3","1","0","849.5198823097472","1200","700","-1","0","82273.59999999998","83128.59999999998","84336.09999999998"
"","EPstroop","29","87042","0.0-8.4-0.4","855","","","STROOPmain","","4","2","2","963.4394393126063","1200","700","1","1","85041.5","86008.79999999993","86863.79999999993"
"","EPstroop","30","89571","0.0-8.5-0.5","967","","","STROOPmain","","5","0","0","854.5800488024781","1200","700","1","1","87568.8999999999","88424.5","89391.5"
"","EPstroop","31","92323","0.0-8.6-0.6","942","","","STROOPmain","","6","2","2","1098.1718638239288","1200","700","1","1","90098.09999999998","91201.3999999999","92143.69999999995"
"","EPstroop","32","95257","0.0-8.7-0.7","-1","","","STROOPmain","","7","0","2","1015.0250594421941","1200","700","-1","0","92850.69999999995","93872.59999999998","95080.79999999993"
"","EPstroop","33","97986","0.0-8.8-0.8","950","","","STROOPmain","","8","0","0","1065.9394199918747","1200","700","1","1","95784.29999999993","96856.5","97806.69999999995"
"","EPstroop","34","100778","0.0-8.9-0.9","-1","","","STROOPmain","","9","1","0","875.3470099698357","1200","700","-1","0","98512.8999999999","99394.19999999995","100600.5"
"","EPstroop","35","103753","0.0-8.10-0.10","-1","","","STROOPmain","","10","0","1","1055.1217305097025","1200","700","-1","0","101305.3999999999","102368.69999999995","103576.79999999993"
"","EPstroop","36","106449","0.0-8.11-0.11","-1","","","STROOPmain","","11","2","1","781.4020945511305","1200","700","-1","0","104281.09999999998","105064.5","106273.5"
"","EPstroop","37","109288","0.0-8.12-0.12","-1","","","STROOPmain","","12","2","1","915.5613598720909","1200","700","-1","0","106977.09999999998","107896.8999999999","109104.8999999999"
"","EPstroop","38","112298","0.0-8.13-0.13","-1","","","STROOPmain","","13","1","1","1082.5559275638218","1200","700","-1","1","109815.09999999998","110904.59999999998","112119.8999999999"
"","EPstroop","39","115154","0.0-8.14-0.14","-1","","","STROOPmain","","14","0","1","940.3222033624652","1200","700","-1","0","112825.79999999993","113768.69999999995","114979"
"","EPstroop","40","117938","0.0-8.15-0.15","1032","","","STROOPmain","","15","0","0","1035.9724868307935","1200","700","1","1","115681.8999999999","116727.19999999995","117759.3999999999"
"","EPstroop","41","120210","0.0-8.16-0.16","734","","","STROOPmain","","16","0","0","830.2067334988743","1200","700","1","1","118465.29999999993","119296.19999999995","120030.5"
"","EPstroop","42","122754","0.0-8.17-0.17","831","","","STROOPmain","","17","0","0","1005.4268015852698","1200","700","1","1","120737.8999999999","121744.09999999998","122575.59999999998"
"","EPstroop","43","125657","0.0-8.18-0.18","-1","","","STROOPmain","","18","2","0","983.0969879424823","1200","700","-1","0","123282","124273","125480.3999999999"
"","EPstroop","44","128281","0.0-8.19-0.19","-1","","","STROOPmain","","19","1","0","709.2121298867711","1200","700","-1","0","126184.3999999999","126896.3999999999","128104.29999999993"
"","EPstroop","45","131034","0.0-8.20-0.20","-1","","","STROOPmain","","20","2","0","819.1177170203705","1200","700","-1","0","128809","129648.19999999995","130856.8999999999"
"","EPstroop","46","133474","0.0-8.21-0.21","854","","","STROOPmain","","21","0","0","874.5987486843919","1200","700","1","1","131561.79999999993","132440.8999999999","133295.19999999995"
"","EPstroop","47","136273","0.0-8.22-0.22","1006","","","STROOPmain","","22","1","1","1082.1841163760128","1200","700","1","1","134002.09999999998","135088.69999999995","136095.19999999995"
"","EPstroop","48","138657","0.0-8.23-0.23","742","","","STROOPmain","","23","1","1","931.8548230949896","1200","700","1","1","136801.29999999993","137736.3999999999","138478.3999999999"
"","EPstroop","49","141394","0.0-8.24-0.24","1070","","","STROOPmain","","24","1","2","955.3924924764101","1200","700","1","0","139185.5","140144.8999999999","141215.5"
