"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","17222","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","57717","0.0-1.0-0.0","40428","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","75059","0.0-2.0-0.0","17269","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","75148","0.0-3.0","","","","","83.59999999962747","","","","","","","","","","",""
"","EPstroop","4","77879","0.0-4.0-0.0","-1","","","STROOPtrain","","0","2","0","818.9986967078853","1200","700","-1","0","75545.30000000075","76364.90000000037","77573.20000000019"
"","EPstroop","5","80110","0.0-4.1-0.1","771","","","STROOPtrain","","0","0","0","751.7491659119294","1200","700","0","1","78277.80000000075","79036.10000000056","79807"
"","EPstroop","6","82743","0.0-4.2-0.2","-1","","","STROOPtrain","","0","0","1","714.3280692614044","1200","700","-1","0","80508.20000000019","81227.80000000075","82435.80000000075"
"","EPstroop","7","85543","0.0-4.3-0.3","-1","","","STROOPtrain","","0","0","0","880.1442316732141","1200","700","-1","1","83141.10000000056","84028.30000000075","85235.60000000056"
"","EPstroop","8","88311","0.0-4.4-0.4","-1","","","STROOPtrain","","0","1","0","848.1974670152541","1200","700","-1","0","85941.70000000019","86796","88004.20000000019"
"","EPstroop","9","91087","0.0-4.5-0.5","1049","","","STROOPtrain","","0","0","0","1019.0712872243633","1200","700","1","1","88709.60000000056","89733.20000000019","90782"
"","EPstroop","10","93839","0.0-4.6-0.6","-1","","","STROOPtrain","","0","1","1","836.8388066999081","1200","700","-1","1","91485.5","92323.90000000037","93532.70000000019"
"","EPstroop","11","96255","0.0-4.7-0.7","890","","","STROOPtrain","","0","2","2","815.0921736028697","1200","700","1","1","94237.5","95060.40000000037","95951"
"","EPstroop","12","98871","0.0-4.8-0.8","1147","","","STROOPtrain","","0","1","1","755.9162732113844","1200","700","0","1","96652.90000000037","97412.70000000019","98559.40000000037"
"","EPstroop","13","101359","0.0-4.9-0.9","890","","","STROOPtrain","","0","2","2","891.805747268247","1200","700","1","1","99269.20000000019","100164","101054.40000000037"
"","EPstroop","14","104263","0.0-4.10-0.10","-1","","","STROOPtrain","","0","2","1","986.1889329049379","1200","700","-1","0","101757.30000000075","102748","103955.5"
