"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","2603","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","89394","0.0-1.0-0.0","86739","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","113218","0.0-2.0-0.0","23597","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","113321","0.0-3.0","","","","","98.5","","","","","","","","","","",""
"","EPstroop","4","116204","0.0-4.0-0.0","-1","","","STROOPtrain","","0","2","2","963.833604203743","1200","700","-1","1","113727.19999998808","114696.89999997616","115904.59999999404"
"","EPstroop","5","119139","0.0-4.1-0.1","1126","","","STROOPtrain","","0","1","1","1094.784950186982","1200","700","1","1","116611.19999998808","117713.69999998808","118839.39999997616"
"","EPstroop","6","121923","0.0-4.2-0.2","1022","","","STROOPtrain","","0","0","0","1054.2493207001398","1200","700","1","1","119545.5","120600.69999998808","121623.19999998808"
"","EPstroop","7","124515","0.0-4.3-0.3","942","","","STROOPtrain","","0","2","1","934.0776227173982","1200","700","0","0","122330","123273.09999999404","124215.39999997616"
"","EPstroop","8","127267","0.0-4.4-0.4","1023","","","STROOPtrain","","0","0","2","1022.4305497804737","1200","700","0","0","124921.59999999404","125944.09999999404","126967.19999998808"
"","EPstroop","9","129971","0.0-4.5-0.5","941","","","STROOPtrain","","0","1","1","1048.2530842459896","1200","700","1","1","127674","128729","129670.39999997616"
"","EPstroop","10","132515","0.0-4.6-0.6","829","","","STROOPtrain","","0","0","0","1006.3481250158239","1200","700","1","1","130376.69999998808","131385.09999999404","132214.5"
"","EPstroop","11","134914","0.0-4.7-0.7","974","","","STROOPtrain","","0","0","0","715.0870836034579","1200","700","1","1","132920.79999998212","133640.79999998212","134615.29999998212"
"","EPstroop","12","137538","0.0-4.8-0.8","1030","","","STROOPtrain","","0","2","2","886.9330275954329","1200","700","1","1","135320.5","136208.29999998212","137238.39999997616"
"","EPstroop","13","140051","0.0-4.9-0.9","806","","","STROOPtrain","","0","1","2","991.5326007760364","1200","700","0","0","137944.69999998808","138944.39999997616","139751"
"","EPstroop","14","142738","0.0-4.10-0.10","-1","","","STROOPtrain","","0","2","2","768.4643698674265","1200","700","-1","1","140457.5","141232.29999998212","142440.89999997616"
"","EPstroop","15","145515","0.0-4.11-0.11","-1","","","STROOPtrain","","0","2","0","857.1709137083673","1200","700","-1","0","143145.09999999404","144008.79999998212","145216.09999999404"
"","EPstroop","16","147890","0.0-4.12-0.12","854","","","STROOPtrain","","0","2","2","813.0041612468164","1200","700","1","1","145921.79999998212","146737","147591.29999998212"
"","EPstroop","17","150436","0.0-4.13-0.13","847","","","STROOPtrain","","0","1","1","990.3266230681331","1200","700","1","1","148296.39999997616","149288.5","150135.29999998212"
"","EPstroop","18","153354","0.0-4.14-0.14","-1","","","STROOPtrain","","0","0","1","1003.0575365592472","1200","700","-1","0","150842.39999997616","151849","153056.79999998212"
"","EPstroop","19","156163","0.0-4.15-0.15","1184","","","STROOPtrain","","0","1","0","916.390464133822","1200","700","0","0","153761.19999998808","154679.89999997616","155863.5"
"","EPstroop","20","158531","0.0-4.16-0.16","878","","","STROOPtrain","","0","0","0","782.7269791569125","1200","700","1","1","156569.09999999404","157352.79999998212","158231.29999998212"
"","EPstroop","21","161123","0.0-4.17-0.17","999","","","STROOPtrain","","0","1","1","879.6636962221435","1200","700","1","1","158938.09999999404","159824.5","160823.09999999404"
"","external-html","22","168722","0.0-5.0-0.0","7517","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","168783","0.0-6.0","","","","","55.5","","","","","","","","","","",""
"","call-function","24","168845","0.0-7.0","","","","","61.70000001788139","","","","","","","","","","",""
"","EPstroop","25","171627","0.0-8.0-0.0","1055","","","STROOPmain","","0","1","1","1004.0240057966384","1200","700","1","1","169252.29999998212","170264","171324.89999997616"
"","EPstroop","26","174403","0.0-8.1-0.1","1047","","","STROOPmain","","1","2","2","1016.3839567593254","1200","700","1","1","172034.19999998808","173056.09999999404","174103.59999999404"
"","EPstroop","27","177252","0.0-8.2-0.2","1110","","","STROOPmain","","2","2","2","1027.4516510767912","1200","700","1","1","174809","175840.89999997616","176951.59999999404"
"","EPstroop","28","179620","0.0-8.3-0.3","863","","","STROOPmain","","3","0","0","797.7051804584244","1200","700","1","1","177658","178456.39999997616","179320"
"","EPstroop","29","182068","0.0-8.4-0.4","790","","","STROOPmain","","4","1","1","942.599652028254","1200","700","1","1","180026","180977","181766.59999999404"
"","EPstroop","30","185083","0.0-8.5-0.5","-1","","","STROOPmain","","5","2","0","1096.4102909842404","1200","700","-1","0","182474.09999999404","183576.19999998808","184784.09999999404"
"","EPstroop","31","187668","0.0-8.6-0.6","823","","","STROOPmain","","6","2","0","1051.3138067262164","1200","700","1","0","185488.5","186544","187367.69999998808"
"","EPstroop","32","189716","0.0-8.7-0.7","559","","","STROOPmain","","7","0","0","774.9241446312263","1200","700","1","1","188074.19999998808","188856.19999998808","189415.09999999404"
"","EPstroop","33","191891","0.0-8.8-0.8","702","","","STROOPmain","","8","0","0","764.9632406822298","1200","700","1","1","190122.19999998808","190888.79999998212","191591.69999998808"
"","EPstroop","34","194419","0.0-8.9-0.9","1119","","","STROOPmain","","9","2","1","700.3567230614425","1200","700","1","0","192297.5","193000.29999998212","194119.59999999404"
"","EPstroop","35","197379","0.0-8.10-0.10","1158","","","STROOPmain","","10","0","2","1087.0981630111505","1200","700","1","0","194825.5","195920.29999998212","197078.89999997616"
"","EPstroop","36","200099","0.0-8.11-0.11","1015","","","STROOPmain","","11","2","2","994.7394034172102","1200","700","1","1","197785.59999999404","198784.09999999404","199799.69999998808"
"","EPstroop","37","202979","0.0-8.12-0.12","1087","","","STROOPmain","","12","1","0","1087.1937149799348","1200","700","1","0","200504.39999997616","201592.09999999404","202679.69999998808"
"","EPstroop","38","205428","0.0-8.13-0.13","925","","","STROOPmain","","13","1","0","810.2672602965824","1200","700","1","0","203385.09999999404","204202","205126.59999999404"
"","EPstroop","39","207747","0.0-8.14-0.14","863","","","STROOPmain","","14","2","2","744.5545520374494","1200","700","1","1","205834.69999998808","206584.69999998808","207447.59999999404"
