"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","keypressed","url","trial_tag","value","tnum","string","color","fixdur","respdelay","feedbackdur","correct","congruent","startTime","displayTime","feedbackTime"
"true","fullscreen","0","2530","0.0-0.0","","","","","","","","","","","","","","","",""
"","external-html","1","38637","0.0-1.0-0.0","36042","-1","STROOP_html/welcome1.html","instructions","","","","","","","","","","","",""
"","external-html","2","43724","0.0-2.0-0.0","5007","-1","STROOP_html/welcome2.html","instructions","","","","","","","","","","","",""
"","call-function","3","43798","0.0-3.0","","","","","72.19999998807907","","","","","","","","","","",""
"","EPstroop","4","46413","0.0-4.0-0.0","-1","","","STROOPtrain","","0","0","0","710.9788220769127","1200","700","-1","1","44417.19999998808","45128.69999998808","46330.59999999404"
"","EPstroop","5","48874","0.0-4.1-0.1","935","","","STROOPtrain","","0","1","1","822.3172643152516","1200","700","1","1","47033.39999997616","47856.19999998808","48790.79999998212"
"","EPstroop","6","51098","0.0-4.2-0.2","479","","","STROOPtrain","","0","1","1","1043.8171187913536","1200","700","1","1","49493.5","50536.89999997616","51015.59999999404"
"","EPstroop","7","53242","0.0-4.3-0.3","447","","","STROOPtrain","","0","1","1","993.4643822867415","1200","700","1","1","51718.09999999404","52711.79999998212","53159.19999998808"
"","EPstroop","8","55066","0.0-4.4-0.4","313","","","STROOPtrain","","0","0","1","808.834368453668","1200","700","1","0","53860.69999998808","54670","54983.39999997616"
"","EPstroop","9","57609","0.0-4.5-0.5","871","","","STROOPtrain","","0","2","0","969.9517880935718","1200","700","1","0","55686","56655.69999998808","57527.09999999404"
"","EPstroop","10","60009","0.0-4.6-0.6","836","","","STROOPtrain","","0","2","2","861.7594031423077","1200","700","1","1","58228.69999998808","59090.59999999404","59926.39999997616"
"","EPstroop","11","62073","0.0-4.7-0.7","589","","","STROOPtrain","","0","0","0","773.3347366891501","1200","700","1","1","60627.69999998808","61401.59999999404","61991"
"","EPstroop","12","64409","0.0-4.8-0.8","721","","","STROOPtrain","","0","1","2","913.7119177140787","1200","700","1","0","62692.89999997616","63606.5","64327.09999999404"
"","EPstroop","13","66698","0.0-4.9-0.9","820","","","STROOPtrain","","0","1","1","762.8987100736775","1200","700","1","1","65028.5","65794.69999998808","66614.5"
"","EPstroop","14","68953","0.0-4.10-0.10","471","","","STROOPtrain","","0","1","0","1082.9963366687095","1200","700","1","0","67317.29999998212","68399.59999999404","68871"
"","EPstroop","15","71034","0.0-4.11-0.11","660","","","STROOPtrain","","0","2","2","719.1626938269067","1200","700","1","1","69571.69999998808","70291.39999997616","70951.19999998808"
"","EPstroop","16","72954","0.0-4.12-0.12","493","","","STROOPtrain","","0","0","2","725.8959252032311","1200","700","1","0","71652.59999999404","72378.19999998808","72871.59999999404"
"","EPstroop","17","75018","0.0-4.13-0.13","532","","","STROOPtrain","","0","0","0","829.0118363220884","1200","700","0","1","73573.79999998212","74403.5","74935.19999998808"
"","EPstroop","18","77337","0.0-4.14-0.14","692","","","STROOPtrain","","0","0","0","925.8955870879616","1200","700","1","1","75637.5","76563.09999999404","77255"
"","EPstroop","19","79497","0.0-4.15-0.15","656","","","STROOPtrain","","0","2","2","801.0944133048528","1200","700","1","1","77956.89999997616","78758.5","79415.09999999404"
"","EPstroop","20","81514","0.0-4.16-0.16","578","","","STROOPtrain","","0","2","1","736.266220934542","1200","700","1","0","80117","80853.5","81431.19999998808"
"","EPstroop","21","83754","0.0-4.17-0.17","474","","","STROOPtrain","","0","2","2","1064.2977115932529","1200","700","1","1","82133.19999998808","83197.69999998808","83671.5"
"","external-html","22","87756","0.0-5.0-0.0","3907","-1","STROOP_html/welcome3.html","instructions","","","","","","","","","","","",""
"","call-function","23","87819","0.0-6.0","","","","","59.69999998807907","","","","","","","","","","",""
"","call-function","24","87875","0.0-7.0","","","","","56.29999998211861","","","","","","","","","","",""
"","EPstroop","25","90387","0.0-8.0-0.0","1073","","","STROOPmain","","0","0","0","725.5980935783102","1200","700","1","1","88496.09999999404","89222.19999998808","90304.39999997616"
"","EPstroop","26","92921","0.0-8.1-0.1","739","","","STROOPmain","","1","1","1","1085.5915098453581","1200","700","1","1","91007","92099.89999997616","92838.5"
"","EPstroop","27","94810","0.0-8.2-0.2","456","","","STROOPmain","","2","1","1","731.328389544823","1200","700","1","1","93540.59999999404","94271.89999997616","94727.79999998212"
"","EPstroop","28","96825","0.0-8.3-0.3","543","","","STROOPmain","","3","0","0","770.2689078077498","1200","700","1","1","95429.59999999404","96200.29999998212","96743.39999997616"
"","EPstroop","29","99068","0.0-8.4-0.4","584","","","STROOPmain","","4","1","1","954.5756627061485","1200","700","1","1","97445","98399.5","98983.39999997616"
